id,npc_name,strategy_status,level,base1_x,base1_y,base2_x,base2_y,adjacency,lord_name,scheduled_time,comment,updated_by,event_id,created_at,conquered,conqueror_type,adjacent_own,adjacent_other
29,二黒砦,失,6,-780,-1100,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,other,0,1
30,兌宮砦,攻略済,6,-1140,-225,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,own,0,1
31,七赤砦,失,6,-1140,225,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,other,0,1
32,乾宮砦,失,6,-1100,780,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,other,1,2
33,六白砦,攻略済,6,-780,1100,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,own,1,0
34,洛陽：北東砦1,攻略済,1,180,180,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,own,0,0
35,洛陽：北東砦2,失,1,168,180,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,other,0,3
36,洛陽：北東砦3,失,1,156,180,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,other,0,0
37,洛陽：北東砦4,攻略済,1,132,180,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,own,0,1
38,洛陽：北東砦5,攻略済,1,120,180,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,own,2,1
39,洛陽：北東砦6,攻略済,1,108,180,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,own,0,0
40,洛陽：北東砦7,攻略済,1,84,180,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,own,0,0
41,洛陽：北東砦8,攻略済,1,72,180,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,own,0,2
42,洛陽：北東砦9,攻略済,1,60,180,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,own,0,3
43,洛陽：北東砦10,攻略済,1,36,180,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,own,0,0
44,洛陽：北東砦11,攻略済,1,24,180,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,own,0,3
45,洛陽：北東砦12,攻略済,1,12,180,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,own,0,1
46,洛陽：北西砦13,攻略済,1,-12,180,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,own,0,2
47,洛陽：北西砦14,攻略済,1,-24,180,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,own,0,4
48,洛陽：北西砦15,攻略済,1,-36,180,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,own,1,0
49,洛陽：北西砦16,攻略済,1,-60,180,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,own,0,1
50,洛陽：北西砦17,攻略済,1,-72,180,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,own,1,1
51,洛陽：北西砦18,攻略済,1,-84,180,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,own,1,1
52,洛陽：北西砦19,攻略済,1,-108,180,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,own,0,0
53,洛陽：北西砦20,攻略済,1,-120,180,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,own,1,0
54,洛陽：北西砦21,攻略済,1,-132,180,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,own,1,0
55,洛陽：北西砦22,攻略済,1,-156,180,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,own,0,0
56,洛陽：北西砦23,攻略済,1,-168,180,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,own,2,0
57,洛陽：北西砦24,攻略済,1,-180,180,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,own,1,0
58,洛陽：南東砦25,失,1,180,-180,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,other,0,1
59,洛陽：南東砦26,失,1,168,-180,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,other,0,0
60,洛陽：南東砦27,失,1,156,-180,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,other,0,0
61,洛陽：南東砦28,失,1,132,-180,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,other,0,0
62,洛陽：南東砦29,失,1,120,-180,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,other,0,8
63,洛陽：南東砦30,失,1,108,-180,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,other,0,0
64,洛陽：南東砦31,失,1,84,-180,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,other,0,1
65,洛陽：南東砦32,失,1,72,-180,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,other,0,6
66,洛陽：南東砦33,失,1,60,-180,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,other,0,1
67,洛陽：南東砦34,失,1,36,-180,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,other,0,0
68,洛陽：南東砦35,失,1,24,-180,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,other,0,0
69,洛陽：南東砦36,失,1,12,-180,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,other,0,1
70,洛陽：南西砦37,失,1,-12,-180,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,other,0,3
71,洛陽：南西砦38,失,1,-24,-180,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,other,0,3
72,洛陽：南西砦39,失,1,-36,-180,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,other,0,1
73,洛陽：南西砦40,失,1,-60,-180,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,other,0,4
74,洛陽：南西砦41,失,1,-72,-180,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,other,0,1
75,洛陽：南西砦42,失,1,-84,-180,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,other,0,0
76,洛陽：南西砦43,失,1,-108,-180,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,other,0,1
77,洛陽：南西砦44,失,1,-120,-180,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,other,1,0
78,洛陽：南西砦45,失,1,-132,-180,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,other,0,1
79,洛陽：南西砦46,失,1,-156,-180,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,other,1,0
80,洛陽：南西砦47,失,1,-168,-180,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,other,0,0
81,洛陽：南西砦48,失,1,-180,-180,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,other,0,2
82,洛陽：北東砦49,攻略済,1,180,168,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,own,0,0
83,洛陽：北東砦50,攻略済,1,180,156,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,own,1,0
84,洛陽：北東砦51,攻略済,1,180,132,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,own,1,0
85,洛陽：北東砦52,攻略済,1,180,120,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,own,0,0
86,洛陽：北東砦53,攻略済,1,180,108,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,own,0,0
87,洛陽：北東砦54,攻略済,1,180,84,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,own,0,0
88,洛陽：北東砦55,攻略済,1,180,72,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,own,0,0
89,洛陽：北東砦56,攻略済,1,180,60,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,own,1,0
90,洛陽：北東砦57,攻略済,1,180,36,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,own,0,0
91,洛陽：北東砦58,攻略済,1,180,24,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,own,0,0
92,洛陽：北東砦59,攻略済,1,180,12,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,own,1,0
93,洛陽：南東砦60,攻略済,1,180,-12,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,own,0,0
94,洛陽：南東砦61,攻略済,1,180,-24,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,own,1,0
95,洛陽：南東砦62,攻略済,1,180,-36,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,own,1,0
96,洛陽：南東砦63,失,1,180,-60,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,other,0,0
97,洛陽：南東砦64,失,1,180,-72,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,other,0,0
98,洛陽：南東砦65,失,1,180,-84,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,other,0,1
99,洛陽：南東砦66,失,1,180,-108,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,other,0,0
100,洛陽：南東砦67,失,1,180,-120,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,other,0,2
101,洛陽：南東砦68,失,1,180,-132,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,other,0,0
102,洛陽：南東砦69,失,1,180,-156,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,other,0,0
103,洛陽：南東砦70,失,1,180,-168,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,other,0,1
104,洛陽：北西砦71,攻略済,1,-180,168,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,own,1,0
105,洛陽：北西砦72,攻略済,1,-180,156,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,own,0,0
106,洛陽：北西砦73,攻略済,1,-180,132,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,own,1,0
107,洛陽：北西砦74,攻略済,1,-180,120,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,own,0,0
108,洛陽：北西砦75,攻略済,1,-180,108,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,own,0,0
109,洛陽：北西砦76,攻略済,1,-180,84,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,own,2,0
110,洛陽：北西砦77,攻略済,1,-180,72,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,own,0,0
111,洛陽：北西砦78,攻略済,1,-180,60,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,own,0,2
112,洛陽：北西砦79,攻略済,1,-180,36,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,own,1,0
113,洛陽：北西砦80,攻略済,1,-180,24,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,own,1,0
114,洛陽：北西砦81,攻略済,1,-180,12,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,own,0,2
115,洛陽：南西砦82,攻略済,1,-180,-12,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,own,0,0
116,洛陽：南西砦83,攻略済,1,-180,-24,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,own,0,0
117,洛陽：南西砦84,攻略済,1,-180,-36,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,own,1,0
118,洛陽：南西砦85,攻略済,1,-180,-60,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,own,0,0
119,洛陽：南西砦86,攻略済,1,-180,-72,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,own,0,0
120,洛陽：南西砦87,攻略済,1,-180,-84,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,own,0,0
121,洛陽：南西砦88,攻略済,1,-180,-108,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,own,0,3
122,洛陽：南西砦89,失,1,-180,-120,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,other,0,0
123,洛陽：南西砦90,失,1,-180,-132,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,other,0,0
124,洛陽：南西砦91,失,1,-180,-156,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,other,0,1
125,洛陽：南西砦92,失,1,-180,-168,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,other,0,1
126,洛陽：北東砦93,攻略済,2,156,156,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,own,0,0
127,洛陽：北東砦94,攻略済,2,144,156,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,own,0,0
128,洛陽：北東砦95,攻略済,2,132,156,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,own,0,0
129,洛陽：北東砦96,攻略済,2,108,156,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,own,0,0
130,洛陽：北東砦97,攻略済,2,96,156,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,own,0,0
131,洛陽：北東砦98,攻略済,2,84,156,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,own,0,0
132,洛陽：北東砦99,攻略済,2,60,156,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,own,0,1
133,洛陽：北東砦100,攻略済,2,48,156,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,own,1,0
134,洛陽：北東砦101,攻略済,2,36,156,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,own,0,0
135,洛陽：北東砦102,攻略済,2,12,156,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,own,1,0
136,洛陽：北東砦103,攻略済,2,0,156,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,own,0,0
137,洛陽：北西砦104,攻略済,2,-12,156,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,own,0,1
138,洛陽：北西砦105,攻略済,2,-36,156,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,own,1,0
139,洛陽：北西砦106,攻略済,2,-48,156,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,own,1,0
140,洛陽：北西砦107,攻略済,2,-60,156,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,own,0,0
141,洛陽：北西砦108,攻略済,2,-84,156,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,own,2,0
142,洛陽：北西砦109,攻略済,2,-96,156,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,own,1,1
143,洛陽：北西砦110,攻略済,2,-108,156,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,own,1,0
144,洛陽：北西砦111,攻略済,2,-132,156,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,own,1,0
145,洛陽：北西砦112,攻略済,2,-144,156,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,own,1,0
146,洛陽：北西砦113,攻略済,2,-156,156,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,own,1,0
147,洛陽：南東砦114,失,2,156,-156,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,other,0,0
148,洛陽：南東砦115,失,2,144,-156,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,other,0,2
149,洛陽：南東砦116,失,2,132,-156,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,other,0,0
150,洛陽：南東砦117,失,2,108,-156,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,other,0,3
151,洛陽：南東砦118,失,2,96,-156,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,other,0,2
152,洛陽：南東砦119,失,2,84,-156,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,other,0,0
153,洛陽：南東砦120,失,2,60,-156,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,other,0,0
154,洛陽：南東砦121,失,2,48,-156,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,other,0,0
155,洛陽：南東砦122,失,2,36,-156,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,other,0,0
156,洛陽：南東砦123,失,2,12,-156,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,other,0,0
157,洛陽：南東砦124,失,2,0,-156,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,other,0,1
158,洛陽：南西砦125,失,2,-12,-156,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,other,0,1
159,洛陽：南西砦126,失,2,-36,-156,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,other,0,1
160,洛陽：南西砦127,失,2,-48,-156,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,other,0,1
161,洛陽：南西砦128,失,2,-60,-156,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,other,0,1
162,洛陽：南西砦129,失,2,-84,-156,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,other,0,1
163,洛陽：南西砦130,失,2,-96,-156,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,other,0,1
164,洛陽：南西砦131,失,2,-108,-156,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,other,0,2
165,洛陽：南西砦132,失,2,-132,-156,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,other,0,0
166,洛陽：南西砦133,攻略済,2,-144,-156,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,own,1,1
167,洛陽：南西砦134,攻略済,2,-156,-156,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,own,2,2
168,洛陽：北東砦135,攻略済,2,156,144,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,own,0,0
169,洛陽：北東砦136,攻略済,2,156,132,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,own,0,0
170,洛陽：北東砦137,攻略済,2,156,108,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,own,0,0
171,洛陽：北東砦138,攻略済,2,156,96,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,own,1,0
172,洛陽：北東砦139,攻略済,2,156,84,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,own,0,0
173,洛陽：北東砦140,攻略済,2,156,60,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,own,0,0
174,洛陽：北東砦141,攻略済,2,156,48,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,own,1,0
175,洛陽：北東砦142,攻略済,2,156,36,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,own,0,0
176,洛陽：北東砦143,攻略済,2,156,12,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,own,0,0
177,洛陽：北東砦144,攻略済,2,156,0,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,own,0,0
178,洛陽：南東砦145,攻略済,2,156,-12,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,own,0,0
179,洛陽：南東砦146,攻略済,2,156,-36,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,own,0,0
180,洛陽：南東砦147,攻略済,2,156,-48,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,own,2,0
181,洛陽：南東砦148,失,2,156,-60,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,other,0,1
182,洛陽：南東砦149,失,2,156,-84,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,other,0,0
183,洛陽：南東砦150,失,2,156,-96,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,other,0,0
184,洛陽：南東砦151,失,2,156,-108,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,other,0,0
185,洛陽：南東砦152,失,2,156,-132,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,other,0,1
186,洛陽：南東砦153,失,2,156,-144,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,other,0,4
187,洛陽：北西砦154,攻略済,2,-156,144,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,own,1,0
188,洛陽：北西砦155,攻略済,2,-156,132,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,own,2,0
189,洛陽：北西砦156,攻略済,2,-156,108,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,own,0,0
190,洛陽：北西砦157,攻略済,2,-156,96,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,own,0,0
191,洛陽：北西砦158,攻略済,2,-156,84,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,own,1,0
192,洛陽：北西砦159,失,2,-156,60,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,other,0,4
193,洛陽：北西砦160,攻略済,2,-156,48,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,own,0,0
194,洛陽：北西砦161,攻略済,2,-156,36,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,own,0,0
195,洛陽：北西砦162,攻略済,2,-156,12,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,own,0,0
196,洛陽：北西砦163,攻略済,2,-156,0,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,own,0,0
197,洛陽：南西砦164,攻略済,2,-156,-12,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,own,2,0
198,洛陽：南西砦165,攻略済,2,-156,-36,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,own,0,2
199,洛陽：南西砦166,攻略済,2,-156,-48,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,own,1,0
200,洛陽：南西砦167,攻略済,2,-156,-60,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,own,0,0
201,洛陽：南西砦168,攻略済,2,-156,-84,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,own,1,1
202,洛陽：南西砦169,攻略済,2,-156,-96,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,own,0,1
203,洛陽：南西砦170,攻略済,2,-156,-108,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,own,0,0
204,洛陽：南西砦171,攻略済,2,-156,-132,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,own,0,1
205,洛陽：南西砦172,攻略済,2,-156,-144,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,own,1,1
206,洛陽：北東砦173,失,3,132,132,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,other,1,0
207,洛陽：北東砦174,失,3,120,132,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,other,1,0
208,洛陽：北東砦175,失,3,108,132,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,other,1,0
209,洛陽：北東砦176,攻略済,3,84,132,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,own,2,0
210,洛陽：北東砦177,攻略済,3,72,132,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,own,1,0
211,洛陽：北東砦178,攻略済,3,60,132,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,own,1,0
212,洛陽：北東砦179,攻略済,3,36,132,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,own,2,0
213,洛陽：北東砦180,攻略済,3,24,132,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,own,1,0
214,洛陽：北東砦181,攻略済,3,12,132,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,own,0,0
215,洛陽：北西砦182,攻略済,3,-12,132,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,own,1,0
216,洛陽：北西砦183,攻略済,3,-24,132,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,own,1,0
217,洛陽：北西砦184,攻略済,3,-36,132,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,own,0,0
218,洛陽：北西砦185,攻略済,3,-60,132,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,own,1,0
219,洛陽：北西砦186,攻略済,3,-72,132,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,own,0,0
220,洛陽：北西砦187,攻略済,3,-84,132,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,own,1,0
221,洛陽：北西砦188,攻略済,3,-108,132,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,own,0,0
222,洛陽：北西砦189,攻略済,3,-120,132,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,own,0,0
223,洛陽：北西砦190,攻略済,3,-132,132,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,own,0,0
224,洛陽：南東砦191,失,3,132,-132,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,other,0,0
225,洛陽：南東砦192,失,3,120,-132,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,other,0,0
226,洛陽：南東砦193,失,3,108,-132,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,other,0,0
227,洛陽：南東砦194,失,3,84,-132,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,other,0,1
228,洛陽：南東砦195,失,3,72,-132,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,other,0,0
229,洛陽：南東砦196,失,3,60,-132,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,other,0,1
230,洛陽：南東砦197,失,3,36,-132,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,other,0,0
231,洛陽：南東砦198,失,3,24,-132,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,other,0,0
232,洛陽：南東砦199,失,3,12,-132,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,other,0,0
233,洛陽：南西砦200,失,3,-12,-132,,,,,,,,w1,2026-02-22 15:20:06.20581+00,true,other,0,1
