地域,X,Y,種別,名称,★,MAP,自動出兵SC,備考
北西,-615,1277,砦(cw2),北西砦706,★2,https://c2.3gokushi.jp/map.php?x=-615&y=1277,https://c2.3gokushi.jp/auto_send_troop/index.php?x=-615&y=1277,
北西,-1102,1276,砦(cw2),北西砦1268,★3,https://c2.3gokushi.jp/map.php?x=-1102&y=1276,https://c2.3gokushi.jp/auto_send_troop/index.php?x=-1102&y=1276,
北西,-1055,1275,砦(em6),北西砦1239,★3,https://c2.3gokushi.jp/map.php?x=-1055&y=1275,https://c2.3gokushi.jp/auto_send_troop/index.php?x=-1055&y=1275,
北西,-969,1275,砦(em6),北西砦1149,★5,https://c2.3gokushi.jp/map.php?x=-969&y=1275,https://c2.3gokushi.jp/auto_send_troop/index.php?x=-969&y=1275,
北西,-574,1275,砦(cw2),北西砦655,★3,https://c2.3gokushi.jp/map.php?x=-574&y=1275,https://c2.3gokushi.jp/auto_send_troop/index.php?x=-574&y=1275,
北西,-1013,1274,砦(cw2),北西砦1191,★1,https://c2.3gokushi.jp/map.php?x=-1013&y=1274,https://c2.3gokushi.jp/auto_send_troop/index.php?x=-1013&y=1274,
北西,-964,1274,砦(cw2),北西砦1144,★3,https://c2.3gokushi.jp/map.php?x=-964&y=1274,https://c2.3gokushi.jp/auto_send_troop/index.php?x=-964&y=1274,
北西,-839,1274,砦(em6),北西砦981,★1,https://c2.3gokushi.jp/map.php?x=-839&y=1274,https://c2.3gokushi.jp/auto_send_troop/index.php?x=-839&y=1274,
北西,-836,1274,砦(cw2),北西砦976,★2,https://c2.3gokushi.jp/map.php?x=-836&y=1274,https://c2.3gokushi.jp/auto_send_troop/index.php?x=-836&y=1274,
北西,-527,1274,砦(em6),北西砦609,★5,https://c2.3gokushi.jp/map.php?x=-527&y=1274,https://c2.3gokushi.jp/auto_send_troop/index.php?x=-527&y=1274,
北西,-1232,1273,砦(cw2),北西砦1384,★5,https://c2.3gokushi.jp/map.php?x=-1232&y=1273,https://c2.3gokushi.jp/auto_send_troop/index.php?x=-1232&y=1273,
北西,-1189,1273,砦(em6),北西砦1342,★1,https://c2.3gokushi.jp/map.php?x=-1189&y=1273,https://c2.3gokushi.jp/auto_send_troop/index.php?x=-1189&y=1273,
北西,-659,1273,砦(em6),北西砦765,★4,https://c2.3gokushi.jp/map.php?x=-659&y=1273,https://c2.3gokushi.jp/auto_send_troop/index.php?x=-659&y=1273,
北西,-440,1273,砦(em6),北西砦500,★5,https://c2.3gokushi.jp/map.php?x=-440&y=1273,https://c2.3gokushi.jp/auto_send_troop/index.php?x=-440&y=1273,
北西,-1272,1272,砦(cw2),北西砦1437,★1,https://c2.3gokushi.jp/map.php?x=-1272&y=1272,https://c2.3gokushi.jp/auto_send_troop/index.php?x=-1272&y=1272,
北西,-1147,1272,砦(em6),北西砦1305,★4,https://c2.3gokushi.jp/map.php?x=-1147&y=1272,https://c2.3gokushi.jp/auto_send_troop/index.php?x=-1147&y=1272,
北西,-927,1272,砦(cw2),北西砦1086,★3,https://c2.3gokushi.jp/map.php?x=-927&y=1272,https://c2.3gokushi.jp/auto_send_troop/index.php?x=-927&y=1272,
北西,-613,1272,砦(em6),北西砦711,★1,https://c2.3gokushi.jp/map.php?x=-613&y=1272,https://c2.3gokushi.jp/auto_send_troop/index.php?x=-613&y=1272,
北西,-528,1272,砦(cw2),北西砦604,★4,https://c2.3gokushi.jp/map.php?x=-528&y=1272,https://c2.3gokushi.jp/auto_send_troop/index.php?x=-528&y=1272,
北西,-770,1258,砦(cw2),北西砦898,★3,https://c2.3gokushi.jp/map.php?x=-770&y=1258,https://c2.3gokushi.jp/auto_send_troop/index.php?x=-770&y=1258,
北西,-729,1258,砦(em6),北西砦850,★3,https://c2.3gokushi.jp/map.php?x=-729&y=1258,https://c2.3gokushi.jp/auto_send_troop/index.php?x=-729&y=1258,
北西,-683,1258,砦(em6),北西砦794,★2,https://c2.3gokushi.jp/map.php?x=-683&y=1258,https://c2.3gokushi.jp/auto_send_troop/index.php?x=-683&y=1258,
北西,-1076,1257,砦(cw2),北西砦1251,★2,https://c2.3gokushi.jp/map.php?x=-1076&y=1257,https://c2.3gokushi.jp/auto_send_troop/index.php?x=-1076&y=1257,
北西,-1033,1257,砦(cw2),北西砦1214,★1,https://c2.3gokushi.jp/map.php?x=-1033&y=1257,https://c2.3gokushi.jp/auto_send_troop/index.php?x=-1033&y=1257,
北西,-854,1257,砦(cw2),北西砦1003,★2,https://c2.3gokushi.jp/map.php?x=-854&y=1257,https://c2.3gokushi.jp/auto_send_troop/index.php?x=-854&y=1257,
北西,-899,1256,砦(cw2),北西砦1058,★1,https://c2.3gokushi.jp/map.php?x=-899&y=1256,https://c2.3gokushi.jp/auto_send_troop/index.php?x=-899&y=1256,
北西,-899,1256,砦(em6),北西砦1063,★1,https://c2.3gokushi.jp/map.php?x=-899&y=1256,https://c2.3gokushi.jp/auto_send_troop/index.php?x=-899&y=1256,
北西,-770,1256,砦(em6),北西砦903,★4,https://c2.3gokushi.jp/map.php?x=-770&y=1256,https://c2.3gokushi.jp/auto_send_troop/index.php?x=-770&y=1256,
北西,-506,1256,砦(cw2),北西砦578,★2,https://c2.3gokushi.jp/map.php?x=-506&y=1256,https://c2.3gokushi.jp/auto_send_troop/index.php?x=-506&y=1256,
北西,-422,1256,砦(em6),北西砦471,★5,https://c2.3gokushi.jp/map.php?x=-422&y=1256,https://c2.3gokushi.jp/auto_send_troop/index.php?x=-422&y=1256,
北西,-1257,1255,砦(em6),北西砦1415,★4,https://c2.3gokushi.jp/map.php?x=-1257&y=1255,https://c2.3gokushi.jp/auto_send_troop/index.php?x=-1257&y=1255,
北西,-1206,1255,砦(cw2),北西砦1357,★3,https://c2.3gokushi.jp/map.php?x=-1206&y=1255,https://c2.3gokushi.jp/auto_send_troop/index.php?x=-1206&y=1255,
北西,-944,1255,砦(cw2),北西砦1115,★1,https://c2.3gokushi.jp/map.php?x=-944&y=1255,https://c2.3gokushi.jp/auto_send_troop/index.php?x=-944&y=1255,
北西,-595,1255,砦(cw2),北西砦680,★4,https://c2.3gokushi.jp/map.php?x=-595&y=1255,https://c2.3gokushi.jp/auto_send_troop/index.php?x=-595&y=1255,
北西,-461,1255,砦(cw2),北西砦524,★1,https://c2.3gokushi.jp/map.php?x=-461&y=1255,https://c2.3gokushi.jp/auto_send_troop/index.php?x=-461&y=1255,
北西,-1169,1254,砦(cw2),北西砦1318,★4,https://c2.3gokushi.jp/map.php?x=-1169&y=1254,https://c2.3gokushi.jp/auto_send_troop/index.php?x=-1169&y=1254,
北西,-1031,1254,砦(em6),北西砦1219,★2,https://c2.3gokushi.jp/map.php?x=-1031&y=1254,https://c2.3gokushi.jp/auto_send_troop/index.php?x=-1031&y=1254,
北西,-598,1254,砦(em6),北西砦685,★2,https://c2.3gokushi.jp/map.php?x=-598&y=1254,https://c2.3gokushi.jp/auto_send_troop/index.php?x=-598&y=1254,
北西,-988,1253,砦(em6),北西砦1172,★2,https://c2.3gokushi.jp/map.php?x=-988&y=1253,https://c2.3gokushi.jp/auto_send_troop/index.php?x=-988&y=1253,
北西,-685,1253,砦(cw2),北西砦789,★2,https://c2.3gokushi.jp/map.php?x=-685&y=1253,https://c2.3gokushi.jp/auto_send_troop/index.php?x=-685&y=1253,
北西,-640,1253,砦(cw2),北西砦731,★3,https://c2.3gokushi.jp/map.php?x=-640&y=1253,https://c2.3gokushi.jp/auto_send_troop/index.php?x=-640&y=1253,
北西,-551,1253,砦(em6),北西砦634,★4,https://c2.3gokushi.jp/map.php?x=-551&y=1253,https://c2.3gokushi.jp/auto_send_troop/index.php?x=-551&y=1253,
北西,-461,1253,砦(em6),北西砦529,★2,https://c2.3gokushi.jp/map.php?x=-461&y=1253,https://c2.3gokushi.jp/auto_send_troop/index.php?x=-461&y=1253,
北西,-420,1253,砦(cw2),北西砦466,★2,https://c2.3gokushi.jp/map.php?x=-420&y=1253,https://c2.3gokushi.jp/auto_send_troop/index.php?x=-420&y=1253,
北西,-1255,1252,砦(cw2),北西砦1410,★1,https://c2.3gokushi.jp/map.php?x=-1255&y=1252,https://c2.3gokushi.jp/auto_send_troop/index.php?x=-1255&y=1252,
北西,-1119,1252,砦(em6),北西砦1288,★1,https://c2.3gokushi.jp/map.php?x=-1119&y=1252,https://c2.3gokushi.jp/auto_send_troop/index.php?x=-1119&y=1252,
北西,-728,1252,砦(cw2),北西砦845,★2,https://c2.3gokushi.jp/map.php?x=-728&y=1252,https://c2.3gokushi.jp/auto_send_troop/index.php?x=-728&y=1252,
北西,-1209,1251,砦(em6),北西砦1362,★3,https://c2.3gokushi.jp/map.php?x=-1209&y=1251,https://c2.3gokushi.jp/auto_send_troop/index.php?x=-1209&y=1251,
北西,-1119,1251,砦(cw2),北西砦1283,★3,https://c2.3gokushi.jp/map.php?x=-1119&y=1251,https://c2.3gokushi.jp/auto_send_troop/index.php?x=-1119&y=1251,
北西,-1081,1251,砦(em6),北西砦1256,★1,https://c2.3gokushi.jp/map.php?x=-1081&y=1251,https://c2.3gokushi.jp/auto_send_troop/index.php?x=-1081&y=1251,
北西,-855,1251,砦(em6),北西砦1008,★2,https://c2.3gokushi.jp/map.php?x=-855&y=1251,https://c2.3gokushi.jp/auto_send_troop/index.php?x=-855&y=1251,
北西,-1165,1250,砦(em6),北西砦1323,★1,https://c2.3gokushi.jp/map.php?x=-1165&y=1250,https://c2.3gokushi.jp/auto_send_troop/index.php?x=-1165&y=1250,
北西,-993,1250,砦(cw2),北西砦1167,★1,https://c2.3gokushi.jp/map.php?x=-993&y=1250,https://c2.3gokushi.jp/auto_send_troop/index.php?x=-993&y=1250,
北西,-945,1250,砦(em6),北西砦1120,★2,https://c2.3gokushi.jp/map.php?x=-945&y=1250,https://c2.3gokushi.jp/auto_send_troop/index.php?x=-945&y=1250,
北西,-811,1250,砦(em6),北西砦953,★3,https://c2.3gokushi.jp/map.php?x=-811&y=1250,https://c2.3gokushi.jp/auto_send_troop/index.php?x=-811&y=1250,
北西,-810,1250,砦(cw2),北西砦948,★5,https://c2.3gokushi.jp/map.php?x=-810&y=1250,https://c2.3gokushi.jp/auto_send_troop/index.php?x=-810&y=1250,
北西,-634,1250,砦(em6),北西砦736,★1,https://c2.3gokushi.jp/map.php?x=-634&y=1250,https://c2.3gokushi.jp/auto_send_troop/index.php?x=-634&y=1250,
北西,-551,1250,砦(cw2),北西砦629,★1,https://c2.3gokushi.jp/map.php?x=-551&y=1250,https://c2.3gokushi.jp/auto_send_troop/index.php?x=-551&y=1250,
北西,-505,1250,砦(em6),北西砦583,★2,https://c2.3gokushi.jp/map.php?x=-505&y=1250,https://c2.3gokushi.jp/auto_send_troop/index.php?x=-505&y=1250,
北西,-928,1236,砦(em6),北西砦1090,★3,https://c2.3gokushi.jp/map.php?x=-928&y=1236,https://c2.3gokushi.jp/auto_send_troop/index.php?x=-928&y=1236,
北西,-659,1236,砦(cw2),北西砦759,★2,https://c2.3gokushi.jp/map.php?x=-659&y=1236,https://c2.3gokushi.jp/auto_send_troop/index.php?x=-659&y=1236,
北西,-570,1236,砦(em6),北西砦659,★1,https://c2.3gokushi.jp/map.php?x=-570&y=1236,https://c2.3gokushi.jp/auto_send_troop/index.php?x=-570&y=1236,
北西,-528,1236,砦(em6),北西砦608,★2,https://c2.3gokushi.jp/map.php?x=-528&y=1236,https://c2.3gokushi.jp/auto_send_troop/index.php?x=-528&y=1236,
北西,-1230,1235,砦(cw2),北西砦1383,★3,https://c2.3gokushi.jp/map.php?x=-1230&y=1235,https://c2.3gokushi.jp/auto_send_troop/index.php?x=-1230&y=1235,
北西,-1229,1235,砦(em6),北西砦1388,★4,https://c2.3gokushi.jp/map.php?x=-1229&y=1235,https://c2.3gokushi.jp/auto_send_troop/index.php?x=-1229&y=1235,
北西,-794,1235,砦(em6),北西砦927,★1,https://c2.3gokushi.jp/map.php?x=-794&y=1235,https://c2.3gokushi.jp/auto_send_troop/index.php?x=-794&y=1235,
北西,-748,1235,砦(cw2),北西砦870,★2,https://c2.3gokushi.jp/map.php?x=-748&y=1235,https://c2.3gokushi.jp/auto_send_troop/index.php?x=-748&y=1235,
北西,-701,1235,砦(cw2),北西砦817,★1,https://c2.3gokushi.jp/map.php?x=-701&y=1235,https://c2.3gokushi.jp/auto_send_troop/index.php?x=-701&y=1235,
北西,-1011,1234,砦(cw2),北西砦1190,★1,https://c2.3gokushi.jp/map.php?x=-1011&y=1234,https://c2.3gokushi.jp/auto_send_troop/index.php?x=-1011&y=1234,
北西,-967,1234,砦(em6),北西砦1148,★3,https://c2.3gokushi.jp/map.php?x=-967&y=1234,https://c2.3gokushi.jp/auto_send_troop/index.php?x=-967&y=1234,
北西,-437,1234,砦(cw2),北西砦494,★1,https://c2.3gokushi.jp/map.php?x=-437&y=1234,https://c2.3gokushi.jp/auto_send_troop/index.php?x=-437&y=1234,
北西,-1274,1233,砦(cw2),北西砦1436,★4,https://c2.3gokushi.jp/map.php?x=-1274&y=1233,https://c2.3gokushi.jp/auto_send_troop/index.php?x=-1274&y=1233,
北西,-1096,1233,砦(em6),北西砦1272,★2,https://c2.3gokushi.jp/map.php?x=-1096&y=1233,https://c2.3gokushi.jp/auto_send_troop/index.php?x=-1096&y=1233,
北西,-527,1233,砦(cw2),北西砦603,★2,https://c2.3gokushi.jp/map.php?x=-527&y=1233,https://c2.3gokushi.jp/auto_send_troop/index.php?x=-527&y=1233,
北西,-1187,1232,砦(em6),北西砦1341,★3,https://c2.3gokushi.jp/map.php?x=-1187&y=1232,https://c2.3gokushi.jp/auto_send_troop/index.php?x=-1187&y=1232,
北西,-790,1232,砦(cw2),北西砦922,★3,https://c2.3gokushi.jp/map.php?x=-790&y=1232,https://c2.3gokushi.jp/auto_send_troop/index.php?x=-790&y=1232,
北西,-664,1232,砦(em6),北西砦764,★1,https://c2.3gokushi.jp/map.php?x=-664&y=1232,https://c2.3gokushi.jp/auto_send_troop/index.php?x=-664&y=1232,
北西,-612,1232,砦(em6),北西砦710,★1,https://c2.3gokushi.jp/map.php?x=-612&y=1232,https://c2.3gokushi.jp/auto_send_troop/index.php?x=-612&y=1232,
北西,-1146,1231,砦(em6),北西砦1304,★1,https://c2.3gokushi.jp/map.php?x=-1146&y=1231,https://c2.3gokushi.jp/auto_send_troop/index.php?x=-1146&y=1231,
北西,-878,1231,砦(cw2),北西砦1030,★2,https://c2.3gokushi.jp/map.php?x=-878&y=1231,https://c2.3gokushi.jp/auto_send_troop/index.php?x=-878&y=1231,
北西,-834,1231,砦(em6),北西砦980,★1,https://c2.3gokushi.jp/map.php?x=-834&y=1231,https://c2.3gokushi.jp/auto_send_troop/index.php?x=-834&y=1231,
北西,-832,1231,砦(cw2),北西砦975,★3,https://c2.3gokushi.jp/map.php?x=-832&y=1231,https://c2.3gokushi.jp/auto_send_troop/index.php?x=-832&y=1231,
北西,-748,1231,砦(em6),北西砦875,★3,https://c2.3gokushi.jp/map.php?x=-748&y=1231,https://c2.3gokushi.jp/auto_send_troop/index.php?x=-748&y=1231,
北西,-708,1231,砦(em6),北西砦822,★4,https://c2.3gokushi.jp/map.php?x=-708&y=1231,https://c2.3gokushi.jp/auto_send_troop/index.php?x=-708&y=1231,
北西,-922,1230,砦(cw2),北西砦1085,★2,https://c2.3gokushi.jp/map.php?x=-922&y=1230,https://c2.3gokushi.jp/auto_send_troop/index.php?x=-922&y=1230,
北西,-612,1230,砦(cw2),北西砦705,★3,https://c2.3gokushi.jp/map.php?x=-612&y=1230,https://c2.3gokushi.jp/auto_send_troop/index.php?x=-612&y=1230,
北西,-574,1230,砦(cw2),北西砦654,★2,https://c2.3gokushi.jp/map.php?x=-574&y=1230,https://c2.3gokushi.jp/auto_send_troop/index.php?x=-574&y=1230,
北西,-1186,1229,砦(cw2),北西砦1336,★2,https://c2.3gokushi.jp/map.php?x=-1186&y=1229,https://c2.3gokushi.jp/auto_send_troop/index.php?x=-1186&y=1229,
北西,-1056,1229,砦(em6),北西砦1238,★2,https://c2.3gokushi.jp/map.php?x=-1056&y=1229,https://c2.3gokushi.jp/auto_send_troop/index.php?x=-1056&y=1229,
北西,-1012,1229,砦(em6),北西砦1195,★2,https://c2.3gokushi.jp/map.php?x=-1012&y=1229,https://c2.3gokushi.jp/auto_send_troop/index.php?x=-1012&y=1229,
北西,-878,1229,砦(em6),北西砦1035,★1,https://c2.3gokushi.jp/map.php?x=-878&y=1229,https://c2.3gokushi.jp/auto_send_troop/index.php?x=-878&y=1229,
北西,-487,1229,砦(cw2),北西砦552,★3,https://c2.3gokushi.jp/map.php?x=-487&y=1229,https://c2.3gokushi.jp/auto_send_troop/index.php?x=-487&y=1229,
北西,-441,1229,砦(em6),北西砦499,★1,https://c2.3gokushi.jp/map.php?x=-441&y=1229,https://c2.3gokushi.jp/auto_send_troop/index.php?x=-441&y=1229,
北西,-1274,1228,砦(em6),北西砦1441,★1,https://c2.3gokushi.jp/map.php?x=-1274&y=1228,https://c2.3gokushi.jp/auto_send_troop/index.php?x=-1274&y=1228,
北西,-1140,1228,砦(cw2),北西砦1299,★3,https://c2.3gokushi.jp/map.php?x=-1140&y=1228,https://c2.3gokushi.jp/auto_send_troop/index.php?x=-1140&y=1228,
北西,-1100,1228,砦(cw2),北西砦1267,★1,https://c2.3gokushi.jp/map.php?x=-1100&y=1228,https://c2.3gokushi.jp/auto_send_troop/index.php?x=-1100&y=1228,
北西,-1057,1228,砦(cw2),北西砦1233,★2,https://c2.3gokushi.jp/map.php?x=-1057&y=1228,https://c2.3gokushi.jp/auto_send_troop/index.php?x=-1057&y=1228,
北西,-965,1228,砦(cw2),北西砦1143,★3,https://c2.3gokushi.jp/map.php?x=-965&y=1228,https://c2.3gokushi.jp/auto_send_troop/index.php?x=-965&y=1228,
北西,-486,1228,砦(em6),北西砦557,★3,https://c2.3gokushi.jp/map.php?x=-486&y=1228,https://c2.3gokushi.jp/auto_send_troop/index.php?x=-486&y=1228,
北西,-774,1214,砦(em6),北西砦902,★4,https://c2.3gokushi.jp/map.php?x=-774&y=1214,https://c2.3gokushi.jp/auto_send_troop/index.php?x=-774&y=1214,
北西,-596,1214,砦(cw2),北西砦679,★2,https://c2.3gokushi.jp/map.php?x=-596&y=1214,https://c2.3gokushi.jp/auto_send_troop/index.php?x=-596&y=1214,
北西,-593,1214,砦(em6),北西砦684,★2,https://c2.3gokushi.jp/map.php?x=-593&y=1214,https://c2.3gokushi.jp/auto_send_troop/index.php?x=-593&y=1214,
北西,-901,1213,砦(em6),北西砦1062,★5,https://c2.3gokushi.jp/map.php?x=-901&y=1213,https://c2.3gokushi.jp/auto_send_troop/index.php?x=-901&y=1213,
北西,-729,1213,砦(cw2),北西砦844,★3,https://c2.3gokushi.jp/map.php?x=-729&y=1213,https://c2.3gokushi.jp/auto_send_troop/index.php?x=-729&y=1213,
北西,-552,1213,砦(em6),北西砦633,★2,https://c2.3gokushi.jp/map.php?x=-552&y=1213,https://c2.3gokushi.jp/auto_send_troop/index.php?x=-552&y=1213,
北西,-1253,1212,砦(em6),北西砦1414,★2,https://c2.3gokushi.jp/map.php?x=-1253&y=1212,https://c2.3gokushi.jp/auto_send_troop/index.php?x=-1253&y=1212,
北西,-422,1212,砦(cw2),北西砦465,★1,https://c2.3gokushi.jp/map.php?x=-422&y=1212,https://c2.3gokushi.jp/auto_send_troop/index.php?x=-422&y=1212,
北西,-854,1211,砦(em6),北西砦1007,★1,https://c2.3gokushi.jp/map.php?x=-854&y=1211,https://c2.3gokushi.jp/auto_send_troop/index.php?x=-854&y=1211,
北西,-818,1211,砦(em6),北西砦952,★4,https://c2.3gokushi.jp/map.php?x=-818&y=1211,https://c2.3gokushi.jp/auto_send_troop/index.php?x=-818&y=1211,
北西,-682,1211,砦(em6),北西砦793,★4,https://c2.3gokushi.jp/map.php?x=-682&y=1211,https://c2.3gokushi.jp/auto_send_troop/index.php?x=-682&y=1211,
北西,-551,1211,砦(cw2),北西砦628,★2,https://c2.3gokushi.jp/map.php?x=-551&y=1211,https://c2.3gokushi.jp/auto_send_troop/index.php?x=-551&y=1211,
北西,-464,1211,砦(em6),北西砦528,★3,https://c2.3gokushi.jp/map.php?x=-464&y=1211,https://c2.3gokushi.jp/auto_send_troop/index.php?x=-464&y=1211,
北西,-638,1210,砦(cw2),北西砦730,★1,https://c2.3gokushi.jp/map.php?x=-638&y=1210,https://c2.3gokushi.jp/auto_send_troop/index.php?x=-638&y=1210,
北西,-1257,1209,砦(cw2),北西砦1409,★4,https://c2.3gokushi.jp/map.php?x=-1257&y=1209,https://c2.3gokushi.jp/auto_send_troop/index.php?x=-1257&y=1209,
北西,-463,1209,砦(cw2),北西砦523,★5,https://c2.3gokushi.jp/map.php?x=-463&y=1209,https://c2.3gokushi.jp/auto_send_troop/index.php?x=-463&y=1209,
北西,-1208,1208,砦(cw2),長安：北西砦15,★3,https://c2.3gokushi.jp/map.php?x=-1208&y=1208,https://c2.3gokushi.jp/auto_send_troop/index.php?x=-1208&y=1208,
北西,-1208,1208,砦(em6),長安：北西砦15,★3,https://c2.3gokushi.jp/map.php?x=-1208&y=1208,https://c2.3gokushi.jp/auto_send_troop/index.php?x=-1208&y=1208,
北西,-1196,1208,砦(cw2),長安：北西砦14,★3,https://c2.3gokushi.jp/map.php?x=-1196&y=1208,https://c2.3gokushi.jp/auto_send_troop/index.php?x=-1196&y=1208,
北西,-1196,1208,砦(em6),長安：北西砦14,★3,https://c2.3gokushi.jp/map.php?x=-1196&y=1208,https://c2.3gokushi.jp/auto_send_troop/index.php?x=-1196&y=1208,
北西,-1184,1208,砦(cw2),長安：北西砦13,★3,https://c2.3gokushi.jp/map.php?x=-1184&y=1208,https://c2.3gokushi.jp/auto_send_troop/index.php?x=-1184&y=1208,
北西,-1184,1208,砦(em6),長安：北西砦13,★3,https://c2.3gokushi.jp/map.php?x=-1184&y=1208,https://c2.3gokushi.jp/auto_send_troop/index.php?x=-1184&y=1208,
北西,-1160,1208,砦(cw2),長安：北西砦12,★3,https://c2.3gokushi.jp/map.php?x=-1160&y=1208,https://c2.3gokushi.jp/auto_send_troop/index.php?x=-1160&y=1208,
北西,-1160,1208,砦(em6),長安：北西砦12,★3,https://c2.3gokushi.jp/map.php?x=-1160&y=1208,https://c2.3gokushi.jp/auto_send_troop/index.php?x=-1160&y=1208,
北西,-1148,1208,砦(cw2),長安：北西砦11,★3,https://c2.3gokushi.jp/map.php?x=-1148&y=1208,https://c2.3gokushi.jp/auto_send_troop/index.php?x=-1148&y=1208,
北西,-1148,1208,砦(em6),長安：北西砦11,★3,https://c2.3gokushi.jp/map.php?x=-1148&y=1208,https://c2.3gokushi.jp/auto_send_troop/index.php?x=-1148&y=1208,
北西,-1136,1208,砦(cw2),長安：北西砦10,★3,https://c2.3gokushi.jp/map.php?x=-1136&y=1208,https://c2.3gokushi.jp/auto_send_troop/index.php?x=-1136&y=1208,
北西,-1136,1208,砦(em6),長安：北西砦10,★3,https://c2.3gokushi.jp/map.php?x=-1136&y=1208,https://c2.3gokushi.jp/auto_send_troop/index.php?x=-1136&y=1208,
北西,-1112,1208,砦(cw2),長安：北西砦9,★3,https://c2.3gokushi.jp/map.php?x=-1112&y=1208,https://c2.3gokushi.jp/auto_send_troop/index.php?x=-1112&y=1208,
北西,-1112,1208,砦(em6),長安：北西砦9,★3,https://c2.3gokushi.jp/map.php?x=-1112&y=1208,https://c2.3gokushi.jp/auto_send_troop/index.php?x=-1112&y=1208,
北西,-1100,1208,砦(cw2),長安：北東砦8,★3,https://c2.3gokushi.jp/map.php?x=-1100&y=1208,https://c2.3gokushi.jp/auto_send_troop/index.php?x=-1100&y=1208,
北西,-1100,1208,砦(em6),長安：北東砦8,★3,https://c2.3gokushi.jp/map.php?x=-1100&y=1208,https://c2.3gokushi.jp/auto_send_troop/index.php?x=-1100&y=1208,
