npc_name,strategy_status,level,base1_x,base1_y,base2_x,base2_y,adjacency,lord_name,scheduled_time,comment,updated_by,event_id
許昌：南東砦18,未攻略,3,1264,-108,,,,,,,,e1
許昌：南東砦19,未攻略,3,1240,-108,,,,,,,,e1
許昌：南東砦20,未攻略,3,1228,-108,,,,,,,,e1
許昌：南東砦21,未攻略,3,1216,-108,,,,,,,,e1
許昌：南東砦22,未攻略,3,1192,-108,,,,,,,,e1
許昌：南東砦23,未攻略,3,1180,-108,,,,,,,,e1
許昌：南東砦38,未攻略,3,1288,-12,,,,,,,,e1
許昌：南東砦39,未攻略,3,1288,-36,,,,,,,,e1
許昌：南東砦40,未攻略,3,1288,-48,,,,,,,,e1
許昌：南東砦41,未攻略,3,1288,-60,,,,,,,,e1
許昌：南東砦42,未攻略,3,1288,-84,,,,,,,,e1
許昌：南東砦43,未攻略,3,1288,-96,,,,,,,,e1
許昌：南東砦69,未攻略,4,1264,-84,,,,,,,,e1
許昌：南東砦70,未攻略,4,1252,-84,,,,,,,,e1
許昌：南東砦71,未攻略,4,1240,-84,,,,,,,,e1
許昌：南東砦72,未攻略,4,1216,-84,,,,,,,,e1
許昌：南東砦73,未攻略,4,1204,-84,,,,,,,,e1
許昌：南東砦74,未攻略,4,1192,-84,,,,,,,,e1
許昌：南東砦86,未攻略,4,1264,-12,,,,,,,,e1
許昌：南東砦87,未攻略,4,1264,-24,,,,,,,,e1
許昌：南東砦88,未攻略,4,1264,-36,,,,,,,,e1
許昌：南東砦89,未攻略,4,1264,-60,,,,,,,,e1
許昌：南東砦90,未攻略,4,1264,-72,,,,,,,,e1
許昌：北西砦10,未攻略,3,1144,108,,,,,,,,e1
許昌：北西砦106,未攻略,5,1168,60,,,,,,,,e1
許昌：北西砦107,未攻略,5,1144,60,,,,,,,,e1
許昌：北西砦108,未攻略,5,1132,60,,,,,,,,e1
許昌：北西砦109,未攻略,5,1120,60,,,,,,,,e1
許昌：北西砦11,未攻略,3,1132,108,,,,,,,,e1
許昌：北西砦12,未攻略,3,1120,108,,,,,,,,e1
許昌：北西砦126,未攻略,5,1120,48,,,,,,,,e1
許昌：北西砦127,未攻略,5,1120,36,,,,,,,,e1
許昌：北西砦128,未攻略,5,1120,12,,,,,,,,e1
許昌：北西砦129,未攻略,5,1120,0,,,,,,,,e1
許昌：北西砦13,未攻略,3,1096,108,,,,,,,,e1
許昌：北西砦14,未攻略,3,1084,108,,,,,,,,e1
許昌：北西砦15,未攻略,3,1072,108,,,,,,,,e1
許昌：北西砦44,未攻略,3,1072,96,,,,,,,,e1
許昌：北西砦45,未攻略,3,1072,84,,,,,,,,e1
許昌：北西砦46,未攻略,3,1072,60,,,,,,,,e1
許昌：北西砦47,未攻略,3,1072,48,,,,,,,,e1
許昌：北西砦48,未攻略,3,1072,36,,,,,,,,e1
許昌：北西砦49,未攻略,3,1072,12,,,,,,,,e1
許昌：北西砦50,未攻略,3,1072,0,,,,,,,,e1
許昌：北西砦63,未攻略,4,1168,84,,,,,,,,e1
許昌：北西砦64,未攻略,4,1156,84,,,,,,,,e1
許昌：北西砦65,未攻略,4,1144,84,,,,,,,,e1
許昌：北西砦66,未攻略,4,1120,84,,,,,,,,e1
許昌：北西砦67,未攻略,4,1108,84,,,,,,,,e1
許昌：北西砦68,未攻略,4,1096,84,,,,,,,,e1
許昌：北西砦9,未攻略,3,1168,108,,,,,,,,e1
許昌：北西砦91,未攻略,4,1096,72,,,,,,,,e1
許昌：北西砦92,未攻略,4,1096,60,,,,,,,,e1
許昌：北西砦93,未攻略,4,1096,36,,,,,,,,e1
許昌：北西砦94,未攻略,4,1096,24,,,,,,,,e1
許昌：北西砦95,未攻略,4,1096,12,,,,,,,,e1
許昌：北東砦1,未攻略,3,1288,108,,,,,,,,e1
許昌：北東砦101,未攻略,5,1240,60,,,,,,,,e1
許昌：北東砦102,未攻略,5,1228,60,,,,,,,,e1
許昌：北東砦103,未攻略,5,1216,60,,,,,,,,e1
許昌：北東砦104,未攻略,5,1192,60,,,,,,,,e1
許昌：北東砦105,未攻略,5,1180,60,,,,,,,,e1
許昌：北東砦119,未攻略,5,1240,48,,,,,,,,e1
許昌：北東砦120,未攻略,5,1240,36,,,,,,,,e1
許昌：北東砦121,未攻略,5,1240,12,,,,,,,,e1
許昌：北東砦122,未攻略,5,1240,0,,,,,,,,e1
許昌：北東砦2,未攻略,3,1276,108,,,,,,,,e1
許昌：北東砦3,未攻略,3,1264,108,,,,,,,,e1
許昌：北東砦31,未攻略,3,1288,96,,,,,,,,e1
許昌：北東砦32,未攻略,3,1288,84,,,,,,,,e1
許昌：北東砦33,未攻略,3,1288,60,,,,,,,,e1
許昌：北東砦34,未攻略,3,1288,48,,,,,,,,e1
許昌：北東砦35,未攻略,3,1288,36,,,,,,,,e1
許昌：北東砦36,未攻略,3,1288,12,,,,,,,,e1
許昌：北東砦37,未攻略,3,1288,0,,,,,,,,e1
許昌：北東砦4,未攻略,3,1240,108,,,,,,,,e1
許昌：北東砦5,未攻略,3,1228,108,,,,,,,,e1
許昌：北東砦57,未攻略,4,1264,84,,,,,,,,e1
許昌：北東砦58,未攻略,4,1252,84,,,,,,,,e1
許昌：北東砦59,未攻略,4,1240,84,,,,,,,,e1
許昌：北東砦6,未攻略,3,1216,108,,,,,,,,e1
許昌：北東砦60,未攻略,4,1216,84,,,,,,,,e1
許昌：北東砦61,未攻略,4,1204,84,,,,,,,,e1
許昌：北東砦62,未攻略,4,1192,84,,,,,,,,e1
許昌：北東砦7,未攻略,3,1192,108,,,,,,,,e1
許昌：北東砦8,未攻略,3,1180,108,,,,,,,,e1
許昌：北東砦81,未攻略,4,1264,72,,,,,,,,e1
許昌：北東砦82,未攻略,4,1264,60,,,,,,,,e1
許昌：北東砦83,未攻略,4,1264,36,,,,,,,,e1
許昌：北東砦84,未攻略,4,1264,24,,,,,,,,e1
許昌：北東砦85,未攻略,4,1264,12,,,,,,,,e1
三碧：南西砦10,未攻略,5,1128,-261,,,,,,,,e1
三碧：南西砦11,未攻略,5,1116,-261,,,,,,,,e1
三碧：南西砦12,未攻略,5,1104,-261,,,,,,,,e1
三碧：南西砦19,未攻略,5,1104,-237,,,,,,,,e1
三碧：南西砦20,未攻略,5,1104,-249,,,,,,,,e1
三碧：南東砦15,未攻略,5,1176,-237,,,,,,,,e1
三碧：南東砦16,未攻略,5,1176,-249,,,,,,,,e1
三碧：南東砦7,未攻略,5,1176,-261,,,,,,,,e1
三碧：南東砦8,未攻略,5,1164,-261,,,,,,,,e1
三碧：南東砦9,未攻略,5,1152,-261,,,,,,,,e1
三碧：北西砦17,未攻略,5,1104,-201,,,,,,,,e1
三碧：北西砦18,未攻略,5,1104,-213,,,,,,,,e1
三碧：北西砦4,未攻略,5,1128,-189,,,,,,,,e1
三碧：北西砦5,未攻略,5,1116,-189,,,,,,,,e1
三碧：北西砦6,未攻略,5,1104,-189,,,,,,,,e1
三碧：北東砦1,未攻略,5,1176,-189,,,,,,,,e1
三碧：北東砦13,未攻略,5,1176,-201,,,,,,,,e1
三碧：北東砦14,未攻略,5,1176,-213,,,,,,,,e1
三碧：北東砦2,未攻略,5,1164,-189,,,,,,,,e1
三碧：北東砦3,未攻略,5,1152,-189,,,,,,,,e1
震宮：南西砦10,未攻略,5,1128,189,,,,,,,,e1
震宮：南西砦11,未攻略,5,1116,189,,,,,,,,e1
震宮：南西砦12,未攻略,5,1104,189,,,,,,,,e1
震宮：南西砦19,未攻略,5,1104,213,,,,,,,,e1
震宮：南西砦20,未攻略,5,1104,201,,,,,,,,e1
震宮：南東砦15,未攻略,5,1176,213,,,,,,,,e1
震宮：南東砦16,未攻略,5,1176,201,,,,,,,,e1
震宮：南東砦7,未攻略,5,1176,189,,,,,,,,e1
震宮：南東砦8,未攻略,5,1164,189,,,,,,,,e1
震宮：南東砦9,未攻略,5,1152,189,,,,,,,,e1
震宮：北西砦17,未攻略,5,1104,249,,,,,,,,e1
震宮：北西砦18,未攻略,5,1104,237,,,,,,,,e1
震宮：北西砦4,未攻略,5,1128,261,,,,,,,,e1
震宮：北西砦5,未攻略,5,1116,261,,,,,,,,e1
震宮：北西砦6,未攻略,5,1104,261,,,,,,,,e1
震宮：北東砦1,未攻略,5,1176,261,,,,,,,,e1
震宮：北東砦13,未攻略,5,1176,249,,,,,,,,e1
震宮：北東砦14,未攻略,5,1176,237,,,,,,,,e1
震宮：北東砦2,未攻略,5,1164,261,,,,,,,,e1
震宮：北東砦3,未攻略,5,1152,261,,,,,,,,e1
青龍：南西砦15,未攻略,4,838,-60,,,,,,,,e1
青龍：南西砦16,未攻略,4,814,-60,,,,,,,,e1
青龍：南西砦17,未攻略,4,802,-60,,,,,,,,e1
青龍：南西砦18,未攻略,4,790,-60,,,,,,,,e1
青龍：南西砦30,未攻略,4,790,-12,,,,,,,,e1
青龍：南西砦31,未攻略,4,790,-36,,,,,,,,e1
青龍：南西砦32,未攻略,4,790,-48,,,,,,,,e1
青龍：南西砦42,未攻略,5,838,-36,,,,,,,,e1
青龍：南西砦43,未攻略,5,826,-36,,,,,,,,e1
青龍：南西砦44,未攻略,5,814,-36,,,,,,,,e1
青龍：南西砦51,未攻略,5,814,-12,,,,,,,,e1
青龍：南西砦52,未攻略,5,814,-24,,,,,,,,e1
青龍：南東砦10,未攻略,4,910,-60,,,,,,,,e1
青龍：南東砦11,未攻略,4,898,-60,,,,,,,,e1
青龍：南東砦12,未攻略,4,886,-60,,,,,,,,e1
青龍：南東砦13,未攻略,4,862,-60,,,,,,,,e1
青龍：南東砦14,未攻略,4,850,-60,,,,,,,,e1
青龍：南東砦23,未攻略,4,910,-12,,,,,,,,e1
青龍：南東砦24,未攻略,4,910,-36,,,,,,,,e1
青龍：南東砦25,未攻略,4,910,-48,,,,,,,,e1
青龍：南東砦39,未攻略,5,886,-36,,,,,,,,e1
青龍：南東砦40,未攻略,5,874,-36,,,,,,,,e1
青龍：南東砦41,未攻略,5,862,-36,,,,,,,,e1
青龍：南東砦47,未攻略,5,886,-12,,,,,,,,e1
青龍：南東砦48,未攻略,5,886,-24,,,,,,,,e1
青龍：北西砦26,未攻略,4,790,48,,,,,,,,e1
青龍：北西砦27,未攻略,4,790,36,,,,,,,,e1
青龍：北西砦28,未攻略,4,790,12,,,,,,,,e1
青龍：北西砦29,未攻略,4,790,0,,,,,,,,e1
青龍：北西砦36,未攻略,5,838,36,,,,,,,,e1
青龍：北西砦37,未攻略,5,826,36,,,,,,,,e1
青龍：北西砦38,未攻略,5,814,36,,,,,,,,e1
青龍：北西砦49,未攻略,5,814,24,,,,,,,,e1
青龍：北西砦50,未攻略,5,814,12,,,,,,,,e1
青龍：北西砦6,未攻略,4,838,60,,,,,,,,e1
青龍：北西砦7,未攻略,4,814,60,,,,,,,,e1
青龍：北西砦8,未攻略,4,802,60,,,,,,,,e1
青龍：北西砦9,未攻略,4,790,60,,,,,,,,e1
青龍：北東砦1,未攻略,4,910,60,,,,,,,,e1
青龍：北東砦19,未攻略,4,910,48,,,,,,,,e1
青龍：北東砦2,未攻略,4,898,60,,,,,,,,e1
青龍：北東砦20,未攻略,4,910,36,,,,,,,,e1
青龍：北東砦21,未攻略,4,910,12,,,,,,,,e1
青龍：北東砦22,未攻略,4,910,0,,,,,,,,e1
青龍：北東砦3,未攻略,4,886,60,,,,,,,,e1
青龍：北東砦33,未攻略,5,886,36,,,,,,,,e1
青龍：北東砦34,未攻略,5,874,36,,,,,,,,e1
青龍：北東砦35,未攻略,5,862,36,,,,,,,,e1
青龍：北東砦4,未攻略,4,862,60,,,,,,,,e1
青龍：北東砦45,未攻略,5,886,24,,,,,,,,e1
青龍：北東砦46,未攻略,5,886,12,,,,,,,,e1
青龍：北東砦5,未攻略,4,850,60,,,,,,,,e1
南東砦1006,未攻略,3,877,-84,,,,,,,,e1
南東砦1007,未攻略,1,878,-129,,,,,,,,e1
南東砦1008,未攻略,2,882,-176,,,,,,,,e1
南東砦1009,未攻略,5,883,-218,,,,,,,,e1
南東砦1010,未攻略,4,883,-260,,,,,,,,e1
南東砦1011,未攻略,1,881,-305,,,,,,,,e1
南東砦1012,未攻略,4,884,-350,,,,,,,,e1
南東砦1013,未攻略,5,878,-396,,,,,,,,e1
南東砦1034,未攻略,3,900,-108,,,,,,,,e1
南東砦1035,未攻略,2,903,-156,,,,,,,,e1
南東砦1036,未攻略,2,900,-195,,,,,,,,e1
南東砦1037,未攻略,3,899,-241,,,,,,,,e1
南東砦1038,未攻略,4,905,-290,,,,,,,,e1
南東砦1039,未攻略,4,906,-329,,,,,,,,e1
南東砦1040,未攻略,3,899,-377,,,,,,,,e1
南東砦1061,未攻略,2,928,-87,,,,,,,,e1
南東砦1062,未攻略,3,927,-136,,,,,,,,e1
南東砦1063,未攻略,3,928,-180,,,,,,,,e1
南東砦1064,未攻略,1,927,-222,,,,,,,,e1
南東砦1065,未攻略,1,925,-267,,,,,,,,e1
南東砦1066,未攻略,3,927,-308,,,,,,,,e1
南東砦1067,未攻略,2,920,-353,,,,,,,,e1
南東砦1068,未攻略,5,925,-400,,,,,,,,e1
南東砦1089,未攻略,1,946,-21,,,,,,,,e1
南東砦1090,未攻略,3,943,-69,,,,,,,,e1
南東砦1091,未攻略,2,942,-112,,,,,,,,e1
南東砦1092,未攻略,4,944,-155,,,,,,,,e1
南東砦1093,未攻略,1,947,-199,,,,,,,,e1
南東砦1094,未攻略,2,946,-240,,,,,,,,e1
南東砦1095,未攻略,1,944,-288,,,,,,,,e1
南東砦1096,未攻略,1,946,-332,,,,,,,,e1
南東砦1097,未攻略,3,950,-371,,,,,,,,e1
南東砦1118,未攻略,3,971,-46,,,,,,,,e1
南東砦1119,未攻略,1,967,-85,,,,,,,,e1
南東砦1120,未攻略,2,964,-136,,,,,,,,e1
南東砦1121,未攻略,5,967,-177,,,,,,,,e1
南東砦1122,未攻略,5,972,-224,,,,,,,,e1
南東砦1123,未攻略,4,971,-265,,,,,,,,e1
南東砦1124,未攻略,3,971,-311,,,,,,,,e1
南東砦1125,未攻略,3,971,-350,,,,,,,,e1
南東砦1126,未攻略,1,972,-396,,,,,,,,e1
南東砦1147,未攻略,2,989,-26,,,,,,,,e1
南東砦1148,未攻略,1,993,-63,,,,,,,,e1
南東砦1149,未攻略,3,986,-108,,,,,,,,e1
南東砦1150,未攻略,5,989,-153,,,,,,,,e1
南東砦1151,未攻略,3,991,-200,,,,,,,,e1
南東砦1152,未攻略,3,987,-241,,,,,,,,e1
南東砦1153,未攻略,5,986,-288,,,,,,,,e1
南東砦1154,未攻略,2,993,-328,,,,,,,,e1
南東砦1155,未攻略,5,993,-370,,,,,,,,e1
南東砦1170,未攻略,3,1011,-42,,,,,,,,e1
南東砦1171,未攻略,1,1016,-88,,,,,,,,e1
南東砦1172,未攻略,2,1014,-132,,,,,,,,e1
南東砦1173,未攻略,3,1015,-177,,,,,,,,e1
南東砦1174,未攻略,1,1011,-218,,,,,,,,e1
南東砦1175,未攻略,2,1014,-264,,,,,,,,e1
南東砦1176,未攻略,2,1016,-304,,,,,,,,e1
南東砦1177,未攻略,4,1011,-355,,,,,,,,e1
南東砦1178,未攻略,1,1016,-397,,,,,,,,e1
南東砦1194,未攻略,3,1032,-20,,,,,,,,e1
南東砦1195,未攻略,4,1034,-70,,,,,,,,e1
南東砦1196,未攻略,1,1034,-112,,,,,,,,e1
南東砦1197,未攻略,3,1032,-154,,,,,,,,e1
南東砦1198,未攻略,1,1033,-199,,,,,,,,e1
南東砦1199,未攻略,3,1035,-244,,,,,,,,e1
南東砦1200,未攻略,4,1034,-287,,,,,,,,e1
南東砦1201,未攻略,3,1035,-327,,,,,,,,e1
南東砦1202,未攻略,5,1033,-377,,,,,,,,e1
南東砦1217,未攻略,3,1055,-130,,,,,,,,e1
南東砦1218,未攻略,3,1052,-173,,,,,,,,e1
南東砦1219,未攻略,3,1058,-220,,,,,,,,e1
南東砦1220,未攻略,3,1059,-267,,,,,,,,e1
南東砦1221,未攻略,3,1058,-306,,,,,,,,e1
南東砦1222,未攻略,2,1053,-349,,,,,,,,e1
南東砦1223,未攻略,1,1056,-396,,,,,,,,e1
南東砦1237,未攻略,5,1074,-153,,,,,,,,e1
南東砦1238,未攻略,3,1077,-202,,,,,,,,e1
南東砦1239,未攻略,3,1082,-241,,,,,,,,e1
南東砦1240,未攻略,1,1075,-289,,,,,,,,e1
南東砦1241,未攻略,3,1078,-331,,,,,,,,e1
南東砦1242,未攻略,1,1077,-371,,,,,,,,e1
南東砦1254,未攻略,3,1101,-132,,,,,,,,e1
南東砦1255,未攻略,3,1098,-307,,,,,,,,e1
南東砦1256,未攻略,3,1097,-350,,,,,,,,e1
南東砦1257,未攻略,1,1097,-392,,,,,,,,e1
南東砦1271,未攻略,1,1126,-154,,,,,,,,e1
南東砦1272,未攻略,4,1124,-290,,,,,,,,e1
南東砦1273,未攻略,2,1125,-333,,,,,,,,e1
南東砦1274,未攻略,2,1124,-374,,,,,,,,e1
南東砦1286,未攻略,1,1145,-133,,,,,,,,e1
南東砦1287,未攻略,1,1146,-312,,,,,,,,e1
南東砦1288,未攻略,2,1141,-351,,,,,,,,e1
南東砦1289,未攻略,2,1142,-395,,,,,,,,e1
南東砦1303,未攻略,3,1163,-152,,,,,,,,e1
南東砦1304,未攻略,1,1169,-283,,,,,,,,e1
南東砦1305,未攻略,1,1163,-326,,,,,,,,e1
南東砦1306,未攻略,2,1168,-374,,,,,,,,e1
南東砦1321,未攻略,3,1186,-136,,,,,,,,e1
南東砦1322,未攻略,2,1186,-305,,,,,,,,e1
南東砦1323,未攻略,3,1192,-353,,,,,,,,e1
南東砦1324,未攻略,1,1191,-392,,,,,,,,e1
南東砦1340,未攻略,2,1214,-150,,,,,,,,e1
南東砦1341,未攻略,2,1211,-195,,,,,,,,e1
南東砦1342,未攻略,1,1211,-241,,,,,,,,e1
南東砦1343,未攻略,1,1206,-286,,,,,,,,e1
南東砦1344,未攻略,2,1209,-328,,,,,,,,e1
南東砦1345,未攻略,3,1211,-376,,,,,,,,e1
南東砦1360,未攻略,1,1235,-131,,,,,,,,e1
南東砦1361,未攻略,5,1231,-175,,,,,,,,e1
南東砦1362,未攻略,5,1229,-223,,,,,,,,e1
南東砦1363,未攻略,1,1234,-266,,,,,,,,e1
南東砦1364,未攻略,1,1236,-311,,,,,,,,e1
南東砦1365,未攻略,2,1236,-355,,,,,,,,e1
南東砦1366,未攻略,1,1229,-396,,,,,,,,e1
南東砦1387,未攻略,1,1250,-152,,,,,,,,e1
南東砦1388,未攻略,4,1254,-202,,,,,,,,e1
南東砦1389,未攻略,2,1254,-243,,,,,,,,e1
南東砦1390,未攻略,3,1253,-288,,,,,,,,e1
南東砦1391,未攻略,3,1251,-332,,,,,,,,e1
南東砦1392,未攻略,2,1254,-378,,,,,,,,e1
南東砦1413,未攻略,3,1279,-131,,,,,,,,e1
南東砦1414,未攻略,3,1275,-175,,,,,,,,e1
南東砦1415,未攻略,1,1278,-216,,,,,,,,e1
南東砦1416,未攻略,1,1274,-267,,,,,,,,e1
南東砦1417,未攻略,3,1278,-309,,,,,,,,e1
南東砦1418,未攻略,1,1272,-353,,,,,,,,e1
南東砦1419,未攻略,3,1279,-397,,,,,,,,e1
南東砦4,未攻略,4,524,-4,,,,,,,,e1
南東砦440,未攻略,5,417,-23,,,,,,,,e1
南東砦441,未攻略,3,415,-62,,,,,,,,e1
南東砦442,未攻略,1,420,-106,,,,,,,,e1
南東砦443,未攻略,1,419,-154,,,,,,,,e1
南東砦444,未攻略,3,418,-194,,,,,,,,e1
南東砦445,未攻略,3,422,-245,,,,,,,,e1
南東砦446,未攻略,2,419,-287,,,,,,,,e1
南東砦447,未攻略,4,420,-328,,,,,,,,e1
南東砦448,未攻略,3,417,-370,,,,,,,,e1
南東砦469,未攻略,2,443,-43,,,,,,,,e1
南東砦470,未攻略,2,444,-84,,,,,,,,e1
南東砦471,未攻略,5,440,-133,,,,,,,,e1
南東砦472,未攻略,5,437,-180,,,,,,,,e1
南東砦473,未攻略,2,442,-219,,,,,,,,e1
南東砦474,未攻略,4,439,-267,,,,,,,,e1
南東砦475,未攻略,5,440,-307,,,,,,,,e1
南東砦476,未攻略,2,440,-351,,,,,,,,e1
南東砦477,未攻略,4,436,-396,,,,,,,,e1
南東砦498,未攻略,3,463,-20,,,,,,,,e1
南東砦499,未攻略,1,462,-69,,,,,,,,e1
南東砦5,未攻略,1,619,-3,,,,,,,,e1
南東砦500,未攻略,1,462,-111,,,,,,,,e1
南東砦501,未攻略,2,466,-156,,,,,,,,e1
南東砦502,未攻略,5,464,-195,,,,,,,,e1
南東砦503,未攻略,1,466,-239,,,,,,,,e1
南東砦504,未攻略,3,462,-287,,,,,,,,e1
南東砦505,未攻略,4,466,-326,,,,,,,,e1
南東砦506,未攻略,2,460,-372,,,,,,,,e1
南東砦527,未攻略,1,486,-48,,,,,,,,e1
南東砦528,未攻略,1,481,-85,,,,,,,,e1
南東砦529,未攻略,1,485,-129,,,,,,,,e1
南東砦530,未攻略,1,484,-172,,,,,,,,e1
南東砦531,未攻略,2,488,-221,,,,,,,,e1
南東砦532,未攻略,1,481,-261,,,,,,,,e1
南東砦533,未攻略,3,482,-309,,,,,,,,e1
南東砦534,未攻略,1,480,-353,,,,,,,,e1
南東砦535,未攻略,1,486,-394,,,,,,,,e1
南東砦556,未攻略,4,502,-21,,,,,,,,e1
南東砦557,未攻略,2,510,-65,,,,,,,,e1
南東砦558,未攻略,3,503,-108,,,,,,,,e1
南東砦559,未攻略,2,503,-155,,,,,,,,e1
南東砦560,未攻略,1,506,-200,,,,,,,,e1
南東砦561,未攻略,2,502,-239,,,,,,,,e1
南東砦562,未攻略,3,510,-289,,,,,,,,e1
南東砦563,未攻略,2,509,-326,,,,,,,,e1
南東砦564,未攻略,3,508,-377,,,,,,,,e1
南東砦581,未攻略,1,532,-40,,,,,,,,e1
南東砦582,未攻略,2,531,-92,,,,,,,,e1
南東砦583,未攻略,1,526,-130,,,,,,,,e1
南東砦584,未攻略,2,526,-177,,,,,,,,e1
南東砦585,未攻略,3,529,-216,,,,,,,,e1
南東砦586,未攻略,1,531,-262,,,,,,,,e1
南東砦587,未攻略,1,524,-305,,,,,,,,e1
南東砦588,未攻略,3,526,-349,,,,,,,,e1
南東砦589,未攻略,1,532,-399,,,,,,,,e1
南東砦6,未攻略,1,702,-2,,,,,,,,e1
南東砦607,未攻略,4,548,-25,,,,,,,,e1
南東砦608,未攻略,2,548,-70,,,,,,,,e1
南東砦609,未攻略,2,547,-114,,,,,,,,e1
南東砦610,未攻略,1,548,-158,,,,,,,,e1
南東砦611,未攻略,2,546,-197,,,,,,,,e1
南東砦612,未攻略,4,554,-238,,,,,,,,e1
南東砦613,未攻略,1,553,-287,,,,,,,,e1
南東砦614,未攻略,2,552,-326,,,,,,,,e1
南東砦615,未攻略,3,552,-372,,,,,,,,e1
南東砦632,未攻略,3,571,-45,,,,,,,,e1
南東砦633,未攻略,4,576,-84,,,,,,,,e1
南東砦634,未攻略,3,576,-129,,,,,,,,e1
南東砦635,未攻略,4,572,-178,,,,,,,,e1
南東砦636,未攻略,5,573,-217,,,,,,,,e1
南東砦637,未攻略,5,570,-268,,,,,,,,e1
南東砦638,未攻略,4,570,-306,,,,,,,,e1
南東砦639,未攻略,3,575,-356,,,,,,,,e1
南東砦640,未攻略,3,576,-393,,,,,,,,e1
南東砦658,未攻略,4,598,-23,,,,,,,,e1
南東砦659,未攻略,2,595,-64,,,,,,,,e1
南東砦660,未攻略,2,593,-106,,,,,,,,e1
南東砦661,未攻略,3,596,-152,,,,,,,,e1
南東砦662,未攻略,3,597,-200,,,,,,,,e1
南東砦663,未攻略,2,597,-244,,,,,,,,e1
南東砦664,未攻略,3,594,-283,,,,,,,,e1
南東砦665,未攻略,2,592,-326,,,,,,,,e1
南東砦666,未攻略,4,590,-372,,,,,,,,e1
南東砦683,未攻略,1,618,-48,,,,,,,,e1
南東砦684,未攻略,2,617,-86,,,,,,,,e1
南東砦685,未攻略,5,613,-133,,,,,,,,e1
南東砦686,未攻略,1,620,-178,,,,,,,,e1
南東砦687,未攻略,2,615,-217,,,,,,,,e1
南東砦688,未攻略,1,613,-268,,,,,,,,e1
南東砦689,未攻略,4,616,-306,,,,,,,,e1
南東砦690,未攻略,4,614,-349,,,,,,,,e1
南東砦691,未攻略,1,612,-400,,,,,,,,e1
南東砦7,未攻略,1,746,-3,,,,,,,,e1
南東砦709,未攻略,5,636,-20,,,,,,,,e1
南東砦710,未攻略,2,640,-70,,,,,,,,e1
南東砦711,未攻略,5,642,-109,,,,,,,,e1
南東砦712,未攻略,4,637,-156,,,,,,,,e1
南東砦713,未攻略,3,641,-195,,,,,,,,e1
