NPC名	X座標	Y座標	★
許昌：南東砦41	1288	-60	★3
許昌：南東砦42	1288	-84	★3
許昌：南東砦43	1288	-96	★3
許昌：南東砦69	1264	-84	★4
許昌：南東砦70	1252	-84	★4
許昌：南東砦71	1240	-84	★4
許昌：南東砦72	1216	-84	★4
許昌：南東砦73	1204	-84	★4
許昌：南東砦74	1192	-84	★4
許昌：南東砦86	1264	-12	★4
許昌：南東砦87	1264	-24	★4
許昌：南東砦88	1264	-36	★4
許昌：南東砦89	1264	-60	★4
許昌：南東砦90	1264	-72	★4
許昌：北西砦10	1144	108	★3
許昌：北西砦106	1168	60	★5
許昌：北西砦107	1144	60	★5
許昌：北西砦108	1132	60	★5
許昌：北西砦109	1120	60	★5
許昌：北西砦11	1132	108	★3
許昌：北西砦12	1120	108	★3
許昌：北西砦126	1120	48	★5
許昌：北西砦127	1120	36	★5
許昌：北西砦128	1120	12	★5
許昌：北西砦129	1120	0	★5
許昌：北西砦13	1096	108	★3
許昌：北西砦14	1084	108	★3
許昌：北西砦15	1072	108	★3
許昌：北西砦44	1072	96	★3
許昌：北西砦45	1072	84	★3
許昌：北西砦46	1072	60	★3
許昌：北西砦47	1072	48	★3
許昌：北西砦48	1072	36	★3
許昌：北西砦49	1072	12	★3
許昌：北西砦50	1072	0	★3
許昌：北西砦63	1168	84	★4
許昌：北西砦64	1156	84	★4
許昌：北西砦65	1144	84	★4
許昌：北西砦66	1120	84	★4
許昌：北西砦67	1108	84	★4
許昌：北西砦68	1096	84	★4
許昌：北西砦9	1168	108	★3
許昌：北西砦91	1096	72	★4
許昌：北西砦92	1096	60	★4
許昌：北西砦93	1096	36	★4
許昌：北西砦94	1096	24	★4
許昌：北西砦95	1096	12	★4
許昌：北東砦1	1288	108	★3
許昌：北東砦101	1240	60	★5
許昌：北東砦102	1228	60	★5
許昌：北東砦103	1216	60	★5
許昌：北東砦104	1192	60	★5
許昌：北東砦105	1180	60	★5
許昌：北東砦119	1240	48	★5
許昌：北東砦120	1240	36	★5
許昌：北東砦121	1240	12	★5
許昌：北東砦122	1240	0	★5
許昌：北東砦2	1276	108	★3
許昌：北東砦3	1264	108	★3
許昌：北東砦31	1288	96	★3
許昌：北東砦32	1288	84	★3
許昌：北東砦33	1288	60	★3
許昌：北東砦34	1288	48	★3
許昌：北東砦35	1288	36	★3
許昌：北東砦36	1288	12	★3
許昌：北東砦37	1288	0	★3
許昌：北東砦4	1240	108	★3
許昌：北東砦5	1228	108	★3
許昌：北東砦57	1264	84	★4
許昌：北東砦58	1252	84	★4
許昌：北東砦59	1240	84	★4
許昌：北東砦6	1216	108	★3
許昌：北東砦60	1216	84	★4
許昌：北東砦61	1204	84	★4
許昌：北東砦62	1192	84	★4
許昌：北東砦7	1192	108	★3
許昌：北東砦8	1180	108	★3
許昌：北東砦81	1264	72	★4
許昌：北東砦82	1264	60	★4
許昌：北東砦83	1264	36	★4
許昌：北東砦84	1264	24	★4
許昌：北東砦85	1264	12	★4
三碧：南西砦10	1128	-261	★5
三碧：南西砦11	1116	-261	★5
三碧：南西砦12	1104	-261	★5
三碧：南西砦19	1104	-237	★5
三碧：南西砦20	1104	-249	★5
三碧：南東砦15	1176	-237	★5
三碧：南東砦16	1176	-249	★5
三碧：南東砦7	1176	-261	★5
三碧：南東砦8	1164	-261	★5
三碧：南東砦9	1152	-261	★5
三碧：北西砦17	1104	-201	★5
三碧：北西砦18	1104	-213	★5
三碧：北西砦4	1128	-189	★5
三碧：北西砦5	1116	-189	★5
三碧：北西砦6	1104	-189	★5
三碧：北東砦1	1176	-189	★5
三碧：北東砦13	1176	-201	★5
三碧：北東砦14	1176	-213	★5
三碧：北東砦2	1164	-189	★5
三碧：北東砦3	1152	-189	★5
震宮：南西砦10	1128	189	★5
震宮：南西砦11	1116	189	★5
震宮：南西砦12	1104	189	★5
震宮：南西砦19	1104	213	★5
震宮：南西砦20	1104	201	★5
震宮：南東砦15	1176	213	★5
震宮：南東砦16	1176	201	★5
震宮：南東砦7	1176	189	★5
震宮：南東砦8	1164	189	★5
震宮：南東砦9	1152	189	★5
震宮：北西砦17	1104	249	★5
震宮：北西砦18	1104	237	★5
震宮：北西砦4	1128	261	★5
震宮：北西砦5	1116	261	★5
震宮：北西砦6	1104	261	★5
震宮：北東砦1	1176	261	★5
震宮：北東砦13	1176	249	★5
震宮：北東砦14	1176	237	★5
震宮：北東砦2	1164	261	★5
震宮：北東砦3	1152	261	★5
青龍：南西砦15	838	-60	★4
青龍：南西砦16	814	-60	★4
青龍：南西砦17	802	-60	★4
青龍：南西砦18	790	-60	★4
青龍：南西砦30	790	-12	★4
青龍：南西砦31	790	-36	★4
青龍：南西砦32	790	-48	★4
青龍：南西砦42	838	-36	★5
青龍：南西砦43	826	-36	★5
青龍：南西砦44	814	-36	★5
青龍：南西砦51	814	-12	★5
青龍：南西砦52	814	-24	★5
青龍：南東砦10	910	-60	★4
青龍：南東砦11	898	-60	★4
青龍：南東砦12	886	-60	★4
青龍：南東砦13	862	-60	★4
青龍：南東砦14	850	-60	★4
青龍：南東砦23	910	-12	★4
青龍：南東砦24	910	-36	★4
青龍：南東砦25	910	-48	★4
青龍：南東砦39	886	-36	★5
青龍：南東砦40	874	-36	★5
青龍：南東砦41	862	-36	★5
青龍：南東砦47	886	-12	★5
青龍：南東砦48	886	-24	★5
青龍：北西砦26	790	48	★4
青龍：北西砦27	790	36	★4
青龍：北西砦28	790	12	★4
青龍：北西砦29	790	0	★4
青龍：北西砦36	838	36	★5
青龍：北西砦37	826	36	★5
青龍：北西砦38	814	36	★5
青龍：北西砦49	814	24	★5
青龍：北西砦50	814	12	★5
青龍：北西砦6	838	60	★4
青龍：北西砦7	814	60	★4
青龍：北西砦8	802	60	★4
青龍：北西砦9	790	60	★4
青龍：北東砦1	910	60	★4
青龍：北東砦19	910	48	★4
青龍：北東砦2	898	60	★4
青龍：北東砦20	910	36	★4
青龍：北東砦21	910	12	★4
青龍：北東砦22	910	0	★4
青龍：北東砦3	886	60	★4
青龍：北東砦33	886	36	★5
青龍：北東砦34	874	36	★5
青龍：北東砦35	862	36	★5
青龍：北東砦4	862	60	★4
青龍：北東砦45	886	24	★5
青龍：北東砦46	886	12	★5
青龍：北東砦5	850	60	★4
南東砦1006	877	-84	★3
南東砦1007	878	-129	★1
南東砦1008	882	-176	★2
南東砦1009	883	-218	★5
南東砦1010	883	-260	★4
南東砦1011	881	-305	★1
南東砦1012	884	-350	★4
南東砦1013	878	-396	★5
南東砦1034	900	-108	★3
南東砦1035	903	-156	★2
南東砦1036	900	-195	★2
南東砦1037	899	-241	★3
南東砦1038	905	-290	★4
南東砦1039	906	-329	★4
南東砦1040	899	-377	★3
南東砦1061	928	-87	★2
南東砦1062	927	-136	★3
南東砦1063	928	-180	★3
南東砦1064	927	-222	★1
南東砦1065	925	-267	★1
南東砦1066	927	-308	★3
南東砦1067	920	-353	★2
南東砦1068	925	-400	★5
南東砦1089	946	-21	★1
南東砦1090	943	-69	★3
南東砦1091	942	-112	★2
南東砦1092	944	-155	★4
南東砦1093	947	-199	★1
南東砦1094	946	-240	★2
南東砦1095	944	-288	★1
南東砦1096	946	-332	★1
南東砦1097	950	-371	★3
南東砦1118	971	-46	★3
南東砦1119	967	-85	★1
南東砦1120	964	-136	★2
南東砦1121	967	-177	★5
南東砦1122	972	-224	★5
南東砦1123	971	-265	★4
南東砦1124	971	-311	★3
南東砦1125	971	-350	★3
南東砦1126	972	-396	★1
南東砦1147	989	-26	★2
南東砦1148	993	-63	★1
南東砦1149	986	-108	★3
南東砦1150	989	-153	★5
南東砦1151	991	-200	★3
南東砦1152	987	-241	★3
南東砦1153	986	-288	★5
南東砦1154	993	-328	★2
南東砦1155	993	-370	★5
南東砦1170	1011	-42	★3
南東砦1171	1016	-88	★1
南東砦1172	1014	-132	★2
南東砦1173	1015	-177	★3
南東砦1174	1011	-218	★1
南東砦1175	1014	-264	★2
南東砦1176	1016	-304	★2
南東砦1177	1011	-355	★4
南東砦1178	1016	-397	★1
南東砦1194	1032	-20	★3
南東砦1195	1034	-70	★4
南東砦1196	1034	-112	★1
南東砦1197	1032	-154	★3
南東砦1198	1033	-199	★1
南東砦1199	1035	-244	★3
南東砦1200	1034	-287	★4
南東砦1201	1035	-327	★3
南東砦1202	1033	-377	★5
南東砦1217	1055	-130	★3
南東砦1218	1052	-173	★3
南東砦1219	1058	-220	★3
南東砦1220	1059	-267	★3
南東砦1221	1058	-306	★3
南東砦1222	1053	-349	★2
南東砦1223	1056	-396	★1
南東砦1237	1074	-153	★5
南東砦1238	1077	-202	★3
南東砦1239	1082	-241	★3
南東砦1240	1075	-289	★1
南東砦1241	1078	-331	★3
南東砦1242	1077	-371	★1
南東砦1254	1101	-132	★3
南東砦1255	1098	-307	★3
南東砦1256	1097	-350	★3
南東砦1257	1097	-392	★1
南東砦1271	1126	-154	★1
南東砦1272	1124	-290	★4
南東砦1273	1125	-333	★2
南東砦1274	1124	-374	★2
南東砦1286	1145	-133	★1
南東砦1287	1146	-312	★1
南東砦1288	1141	-351	★2
南東砦1289	1142	-395	★2
南東砦1303	1163	-152	★3
南東砦1304	1169	-283	★1
南東砦1305	1163	-326	★1
南東砦1306	1168	-374	★2
南東砦1321	1186	-136	★3
南東砦1322	1186	-305	★2
南東砦1323	1192	-353	★3
南東砦1324	1191	-392	★1
南東砦1340	1214	-150	★2
南東砦1341	1211	-195	★2
南東砦1342	1211	-241	★1
南東砦1343	1206	-286	★1
南東砦1344	1209	-328	★2
南東砦1345	1211	-376	★3
南東砦1360	1235	-131	★1
南東砦1361	1231	-175	★5
南東砦1362	1229	-223	★5
南東砦1363	1234	-266	★1
南東砦1364	1236	-311	★1
南東砦1365	1236	-355	★2
南東砦1366	1229	-396	★1
南東砦1387	1250	-152	★1
南東砦1388	1254	-202	★4
南東砦1389	1254	-243	★2
南東砦1390	1253	-288	★3
南東砦1391	1251	-332	★3
南東砦1392	1254	-378	★2
南東砦1413	1279	-131	★3
南東砦1414	1275	-175	★3
南東砦1415	1278	-216	★1
南東砦1416	1274	-267	★1
南東砦1417	1278	-309	★3
南東砦1418	1272	-353	★1
南東砦1419	1279	-397	★3
南東砦4	524	-4	★4
南東砦440	417	-23	★5
南東砦441	415	-62	★3
南東砦442	420	-106	★1
南東砦443	419	-154	★1
南東砦444	418	-194	★3
南東砦445	422	-245	★3
南東砦446	419	-287	★2
南東砦447	420	-328	★4
南東砦448	417	-370	★3
南東砦469	443	-43	★2
南東砦470	444	-84	★2
南東砦471	440	-133	★5
南東砦472	437	-180	★5
南東砦473	442	-219	★2
南東砦474	439	-267	★4
南東砦475	440	-307	★5
南東砦476	440	-351	★2
南東砦477	436	-396	★4
南東砦498	463	-20	★3
南東砦499	462	-69	★1
南東砦5	619	-3	★1
南東砦500	462	-111	★1
南東砦501	466	-156	★2
南東砦502	464	-195	★5
南東砦503	466	-239	★1
南東砦504	462	-287	★3
南東砦505	466	-326	★4
南東砦506	460	-372	★2
南東砦527	486	-48	★1
南東砦528	481	-85	★1
南東砦529	485	-129	★1
南東砦530	484	-172	★1
南東砦531	488	-221	★2
南東砦532	481	-261	★1
南東砦533	482	-309	★3
南東砦534	480	-353	★1
南東砦535	486	-394	★1
南東砦556	502	-21	★4
南東砦557	510	-65	★2
南東砦558	503	-108	★3
南東砦559	503	-155	★2
南東砦560	506	-200	★1
南東砦561	502	-239	★2
南東砦562	510	-289	★3
南東砦563	509	-326	★2
南東砦564	508	-377	★3
南東砦581	532	-40	★1
南東砦582	531	-92	★2
南東砦583	526	-130	★1
南東砦584	526	-177	★2
南東砦585	529	-216	★3
南東砦586	531	-262	★1
南東砦587	524	-305	★1
南東砦588	526	-349	★3
南東砦589	532	-399	★1
南東砦6	702	-2	★1
南東砦607	548	-25	★4
南東砦608	548	-70	★2
南東砦609	547	-114	★2
南東砦610	548	-158	★1
南東砦611	546	-197	★2
南東砦612	554	-238	★4
南東砦613	553	-287	★1
南東砦614	552	-326	★2
南東砦615	552	-372	★3
南東砦632	571	-45	★3
南東砦633	576	-84	★4
南東砦634	576	-129	★3
南東砦635	572	-178	★4
南東砦636	573	-217	★5
南東砦637	570	-268	★5
南東砦638	570	-306	★4
南東砦639	575	-356	★3
南東砦640	576	-393	★3
南東砦658	598	-23	★4
南東砦659	595	-64	★2
南東砦660	593	-106	★2
南東砦661	596	-152	★3
南東砦662	597	-200	★3
南東砦663	597	-244	★2
南東砦664	594	-283	★3
南東砦665	592	-326	★2
南東砦666	590	-372	★4
南東砦683	618	-48	★1
南東砦684	617	-86	★2
南東砦685	613	-133	★5
南東砦686	620	-178	★1
南東砦687	615	-217	★2
南東砦688	613	-268	★1
南東砦689	616	-306	★4
南東砦690	614	-349	★4
南東砦691	612	-400	★1
南東砦7	746	-3	★1
南東砦709	636	-20	★5
南東砦710	640	-70	★2
南東砦711	642	-109	★5
南東砦712	637	-156	★4
南東砦713	641	-195	★3
南東砦714	641	-240	★1
南東砦715	642	-285	★1
南東砦716	635	-327	★3
南東砦717	638	-371	★2
南東砦734	657	-41	★2
南東砦735	660	-86	★2
南東砦736	659	-134	★4
南東砦737	659	-173	★2
南東砦738	657	-216	★3
南東砦739	661	-264	★1
南東砦740	661	-312	★2
南東砦741	663	-351	★3
南東砦742	656	-399	★2
南東砦763	686	-23	★4
南東砦764	680	-67	★3
南東砦765	682	-108	★2
南東砦766	686	-150	★3
南東砦767	678	-199	★3
南東砦768	685	-241	★2
南東砦769	683	-286	★4
南東砦770	681	-329	★1
南東砦771	684	-375	★4
南東砦792	704	-48	★4
南東砦793	704	-87	★3
南東砦794	702	-130	★1
南東砦795	706	-172	★3
南東砦796	703	-221	★1
南東砦797	704	-261	★1
南東砦798	707	-304	★2
南東砦799	708	-356	★5
南東砦8	1013	-1	★2
南東砦800	707	-396	★1
南東砦821	722	-26	★3
南東砦822	730	-70	★3
南東砦823	726	-106	★4
南東砦824	730	-151	★2
南東砦825	722	-201	★4
南東砦826	727	-240	★3
南東砦827	724	-284	★2
南東砦828	730	-332	★1
南東砦829	725	-372	★5
南東砦848	748	-43	★1
南東砦849	747	-91	★5
南東砦850	747	-131	★2
南東砦851	745	-180	★1
南東砦852	746	-220	★3
南東砦853	747	-265	★5
南東砦854	751	-304	★5
南東砦855	744	-352	★2
南東砦856	745	-392	★1
南東砦874	771	-25	★4
南東砦875	771	-64	★2
南東砦876	768	-111	★5
南東砦877	774	-152	★1
南東砦878	770	-198	★3
南東砦879	771	-238	★2
南東砦880	768	-290	★1
南東砦881	773	-328	★3
南東砦882	767	-374	★3
南東砦901	796	-90	★1
南東砦902	788	-135	★2
南東砦903	795	-180	★2
南東砦904	789	-219	★2
南東砦905	792	-266	★1
南東砦906	794	-309	★1
南東砦907	790	-350	★1
南東砦908	796	-395	★5
南東砦926	815	-110	★3
南東砦927	815	-156	★5
南東砦928	817	-198	★5
南東砦929	811	-244	★2
南東砦930	816	-284	★4
南東砦931	813	-333	★1
南東砦932	818	-374	★4
南東砦951	840	-85	★1
南東砦952	834	-133	★3
南東砦953	836	-172	★4
南東砦954	837	-222	★1
南東砦955	840	-264	★1
南東砦956	837	-307	★2
南東砦957	836	-354	★3
南東砦958	839	-400	★3
南東砦979	856	-108	★3
南東砦980	859	-155	★1
南東砦981	856	-194	★4
南東砦982	861	-238	★1
南東砦983	859	-285	★5
南東砦984	861	-334	★1
南東砦985	859	-373	★2
北東砦1000	876	178	★3
北東砦1001	882	223	★5
北東砦1002	880	264	★3
北東砦1003	876	309	★2
北東砦1004	880	349	★2
北東砦1005	876	392	★2
北東砦1026	902	107	★2
北東砦1027	905	157	★3
北東砦1028	899	202	★5
北東砦1029	899	241	★1
北東砦1030	898	283	★3
北東砦1031	904	329	★4
北東砦1032	901	376	★4
北東砦1053	927	88	★5
北東砦1054	923	136	★1
北東砦1055	923	178	★2
北東砦1056	922	220	★3
北東砦1057	927	261	★2
北東砦1058	927	308	★5
北東砦1059	928	355	★1
北東砦1060	926	398	★2
北東砦1081	945	25	★1
北東砦1082	943	64	★2
北東砦1083	948	109	★5
北東砦1084	942	158	★3
北東砦1085	944	194	★1
北東砦1086	947	238	★3
北東砦1087	950	285	★1
北東砦1088	947	326	★1
北東砦1089	948	378	★3
北東砦1110	964	40	★4
北東砦1111	967	90	★5
北東砦1112	966	133	★2
北東砦1113	964	173	★2
北東砦1114	968	216	★2
北東砦1115	970	268	★1
北東砦1116	970	307	★5
北東砦1117	971	348	★1
北東砦1118	965	395	★3
北東砦1139	989	23	★1
北東砦1140	989	69	★2
北東砦1141	988	111	★1
北東砦1142	990	151	★5
北東砦1143	994	200	★1
北東砦1144	986	244	★3
北東砦1145	989	284	★1
北東砦1146	988	326	★3
北東砦1147	988	374	★1
北東砦1162	1012	47	★5
北東砦1163	1015	91	★1
北東砦1164	1011	136	★3
北東砦1165	1016	176	★1
北東砦1166	1009	218	★4
北東砦1167	1008	262	★3
北東砦1168	1008	306	★4
北東砦1169	1008	356	★2
北東砦1170	1009	396	★3
北東砦1186	1034	24	★3
北東砦1187	1032	63	★3
北東砦1188	1032	106	★1
北東砦1189	1037	157	★3
北東砦1190	1035	196	★5
北東砦1191	1037	240	★2
北東砦1192	1037	288	★5
北東砦1193	1038	329	★1
北東砦1194	1035	377	★2
北東砦1209	1052	134	★5
北東砦1210	1058	176	★1
北東砦1211	1059	216	★1
北東砦1212	1053	268	★3
北東砦1213	1054	309	★3
北東砦1214	1056	355	★3
北東砦1215	1059	396	★2
北東砦1229	1082	154	★3
北東砦1230	1076	195	★3
北東砦1231	1080	241	★1
北東砦1232	1079	287	★4
北東砦1233	1082	329	★5
北東砦1234	1079	371	★3
北東砦1246	1098	134	★3
北東砦1247	1101	312	★5
北東砦1248	1098	354	★2
北東砦1249	1098	393	★3
北東砦1263	1118	158	★5
北東砦1264	1125	285	★2
北東砦1265	1124	331	★1
北東砦1266	1120	378	★2
北東砦1278	1148	128	★1
北東砦1279	1144	308	★1
北東砦1280	1143	355	★2
北東砦1281	1143	393	★1
北東砦1295	1169	157	★4
北東砦1296	1163	288	★1
北東砦1297	1165	328	★1
北東砦1298	1164	377	★2
北東砦1313	1185	136	★1
北東砦1314	1186	307	★3
北東砦1315	1192	350	★5
北東砦1316	1190	394	★4
北東砦1332	1210	153	★3
北東砦1333	1207	201	★4
北東砦1334	1210	242	★1
北東砦1335	1213	286	★2
北東砦1336	1212	333	★1
北東砦1337	1209	377	★1
北東砦1352	1236	128	★3
北東砦1353	1235	172	★5
北東砦1354	1233	222	★5
北東砦1355	1232	267	★5
北東砦1356	1232	310	★3
北東砦1357	1234	348	★1
北東砦1358	1228	398	★1
北東砦1379	1250	158	★2
北東砦1380	1256	195	★2
北東砦1381	1251	240	★3
北東砦1382	1253	290	★3
北東砦1383	1250	331	★1
北東砦1384	1256	370	★3
北東砦1405	1280	136	★5
北東砦1406	1279	180	★3
北東砦1407	1275	216	★1
北東砦1408	1278	265	★3
北東砦1409	1277	309	★1
北東砦1410	1280	352	★2
北東砦1411	1272	392	★2
北東砦1434	444	2	★1
北東砦1435	483	4	★2
北東砦1436	575	0	★5
北東砦1437	663	4	★1
北東砦1438	964	2	★3
北東砦432	415	23	★3
北東砦433	418	66	★3
北東砦434	417	113	★2
北東砦435	417	156	★1
北東砦436	420	195	★1
北東砦437	415	242	★3
北東砦438	417	286	★5
北東砦439	417	333	★3
北東砦440	416	372	★2
北東砦461	440	48	★5
北東砦462	437	91	★1
北東砦463	441	132	★3
北東砦464	440	173	★4
北東砦465	441	221	★1
北東砦466	443	264	★1
北東砦467	440	310	★2
北東砦468	438	354	★3
北東砦469	444	395	★5
北東砦490	466	22	★4
北東砦491	462	68	★4
北東砦492	461	108	★3
北東砦493	464	155	★1
北東砦494	459	197	★1
北東砦495	463	245	★1
北東砦496	460	288	★3
北東砦497	463	330	★2
北東砦498	460	372	★5
北東砦519	480	47	★5
北東砦520	482	91	★1
北東砦521	482	131	★2
北東砦522	481	173	★3
北東砦523	487	216	★5
北東砦524	487	265	★3
北東砦525	486	311	★3
北東砦526	480	355	★1
北東砦527	486	392	★1
北東砦548	508	21	★2
北東砦549	504	70	★4
北東砦550	506	113	★4
北東砦551	510	152	★2
北東砦552	510	197	★1
北東砦553	504	245	★1
北東砦554	503	289	★1
北東砦555	503	326	★3
北東砦556	506	374	★1
北東砦573	527	42	★5
北東砦574	527	86	★1
北東砦575	531	130	★3
北東砦576	526	172	★1
北東砦577	527	216	★3
北東砦578	526	266	★2
北東砦579	527	304	★2
北東砦580	530	355	★1
北東砦581	525	395	★4
北東砦599	551	20	★1
北東砦600	552	70	★2
北東砦601	549	113	★2
北東砦602	551	158	★3
北東砦603	549	202	★4
北東砦604	549	244	★3
北東砦605	547	283	★2
北東砦606	547	334	★4
北東砦607	547	378	★1
北東砦624	575	47	★5
北東砦625	570	90	★2
北東砦626	571	130	★3
北東砦627	575	178	★5
北東砦628	576	223	★5
北東砦629	571	267	★3
北東砦630	571	310	★1
北東砦631	576	354	★5
北東砦632	575	394	★3
北東砦650	593	24	★3
北東砦651	598	66	★3
北東砦652	596	106	★2
北東砦653	598	157	★3
北東砦654	591	194	★3
北東砦655	598	242	★1
北東砦656	592	289	★3
北東砦657	596	334	★3
北東砦658	592	378	★2
北東砦675	616	40	★1
北東砦676	618	85	★1
北東砦677	617	132	★1
北東砦678	616	180	★2
北東砦679	620	223	★2
北東砦680	619	262	★4
北東砦681	613	308	★2
北東砦682	619	354	★2
北東砦683	618	399	★3
北東砦701	641	21	★5
北東砦702	639	65	★3
北東砦703	641	112	★2
北東砦704	640	151	★2
北東砦705	642	194	★4
北東砦706	640	243	★1
北東砦707	635	283	★1
北東砦708	636	333	★2
北東砦709	634	372	★2
北東砦726	657	46	★4
北東砦727	658	86	★1
北東砦728	662	133	★2
北東砦729	659	178	★3
北東砦730	661	220	★2
北東砦731	661	266	★2
北東砦732	658	312	★4
北東砦733	661	351	★3
北東砦734	660	393	★3
北東砦755	681	25	★4
北東砦756	684	65	★5
北東砦757	686	107	★1
北東砦758	685	155	★2
北東砦759	681	201	★3
北東砦760	679	241	★2
北東砦761	680	285	★3
北東砦762	682	328	★5
北東砦763	681	376	★3
北東砦784	700	43	★4
北東砦785	703	84	★2
北東砦786	704	132	★5
北東砦787	704	177	★1
北東砦788	700	221	★4
北東砦789	704	266	★1
北東砦790	707	312	★3
北東砦791	704	356	★1
北東砦792	702	394	★5
北東砦813	724	19	★3
北東砦814	728	62	★3
北東砦815	724	114	★2
北東砦816	727	151	★1
北東砦817	723	196	★3
北東砦818	723	241	★3
北東砦819	727	287	★5
北東砦820	722	330	★1
北東砦821	730	373	★2
北東砦840	752	41	★5
北東砦841	752	85	★3
北東砦842	750	128	★4
北東砦843	748	178	★1
北東砦844	749	222	★2
北東砦845	751	264	★5
北東砦846	752	307	★3
北東砦847	751	348	★5
北東砦848	744	396	★1
北東砦866	772	21	★2
北東砦867	774	62	★2
北東砦868	770	113	★3
北東砦869	774	156	★1
北東砦870	769	199	★4
北東砦871	769	244	★5
北東砦872	770	284	★3
北東砦873	774	327	★2
北東砦874	769	375	★2
北東砦893	796	84	★5
北東砦894	789	135	★3
北東砦895	794	180	★4
北東砦896	789	216	★2
北東砦897	790	265	★3
北東砦898	793	308	★2
北東砦899	788	349	★4
北東砦900	794	393	★3
北東砦918	814	113	★1
北東砦919	816	158	★5
北東砦920	818	196	★3
北東砦921	813	239	★4
北東砦922	811	283	★3
北東砦923	812	326	★1
北東砦924	814	377	★5
北東砦943	834	86	★4
北東砦944	840	133	★1
北東砦945	836	179	★1
北東砦946	836	217	★3
北東砦947	840	260	★2
北東砦948	833	312	★4
北東砦949	838	352	★5
北東砦950	838	394	★5
北東砦971	862	107	★1
北東砦972	856	158	★3
北東砦973	856	199	★2
北東砦974	862	242	★4
北東砦975	854	290	★3
北東砦976	861	331	★5
北東砦977	861	377	★5
北東砦998	879	89	★1
北東砦999	882	129	★5
洛陽	0	0	★9
南西砦1	-22	-243	★2
南西砦111	-155	-245	★4
南西砦112	-151	-289	★5
南西砦113	-151	-326	★2
南西砦114	-157	-375	★5
南西砦135	-178	-216	★2
南西砦136	-179	-265	★3
南西砦137	-178	-304	★3
南西砦138	-179	-348	★2
南西砦139	-173	-395	★3
南西砦1432	-216	-4	★4
南西砦1433	-264	-1	★2
南西砦1434	-394	-2	★2
南西砦1437	-1	-307	★3
南西砦157	-199	-246	★5
南西砦158	-198	-287	★1
南西砦159	-196	-326	★3
南西砦160	-201	-374	★2
南西砦17	-40	-216	★3
南西砦179	-221	-45	★3
南西砦18	-42	-265	★1
南西砦180	-221	-88	★1
南西砦181	-223	-128	★2
南西砦182	-219	-174	★5
南西砦183	-218	-222	★1
南西砦184	-218	-267	★3
南西砦185	-218	-311	★1
南西砦186	-220	-351	★2
南西砦187	-222	-399	★2
南西砦19	-48	-308	★4
南西砦2	-20	-284	★3
南西砦20	-46	-355	★3
南西砦205	-244	-22	★2
南西砦206	-244	-65	★2
南西砦207	-243	-112	★3
南西砦208	-246	-152	★3
南西砦209	-241	-202	★3
南西砦21	-40	-400	★1
南西砦210	-242	-241	★1
南西砦211	-244	-286	★2
南西砦212	-240	-329	★4
南西砦213	-242	-371	★1
南西砦232	-266	-48	★2
南西砦233	-260	-89	★1
南西砦234	-263	-136	★3
南西砦235	-266	-172	★2
南西砦236	-266	-222	★1
南西砦237	-268	-261	★2
南西砦238	-261	-305	★4
南西砦239	-268	-353	★3
南西砦240	-263	-398	★1
南西砦258	-288	-20	★3
南西砦259	-284	-62	★2
南西砦260	-289	-114	★3
南西砦261	-289	-154	★5
南西砦262	-287	-196	★1
南西砦263	-285	-246	★3
南西砦264	-282	-283	★2
南西砦265	-288	-334	★3
