NPC名	X座標	Y座標	★
洛陽：南東砦69	180	-156	★1
洛陽：南東砦70	180	-168	★1
洛陽：北西砦71	-180	168	★1
洛陽：北西砦72	-180	156	★1
洛陽：北西砦73	-180	132	★1
洛陽：北西砦74	-180	120	★1
洛陽：北西砦75	-180	108	★1
洛陽：北西砦76	-180	84	★1
洛陽：北西砦77	-180	72	★1
洛陽：北西砦78	-180	60	★1
洛陽：北西砦79	-180	36	★1
洛陽：北西砦80	-180	24	★1
洛陽：北西砦81	-180	12	★1
洛陽：南西砦82	-180	-12	★1
洛陽：南西砦83	-180	-24	★1
洛陽：南西砦84	-180	-36	★1
洛陽：南西砦85	-180	-60	★1
洛陽：南西砦86	-180	-72	★1
洛陽：南西砦87	-180	-84	★1
洛陽：南西砦88	-180	-108	★1
洛陽：南西砦89	-180	-120	★1
洛陽：南西砦90	-180	-132	★1
洛陽：南西砦91	-180	-156	★1
洛陽：南西砦92	-180	-168	★1
洛陽：北東砦93	156	156	★2
洛陽：北東砦94	144	156	★2
洛陽：北東砦95	132	156	★2
洛陽：北東砦96	108	156	★2
洛陽：北東砦97	96	156	★2
洛陽：北東砦98	84	156	★2
洛陽：北東砦99	60	156	★2
洛陽：北東砦100	48	156	★2
洛陽：北東砦101	36	156	★2
洛陽：北東砦102	12	156	★2
洛陽：北東砦103	0	156	★2
洛陽：北西砦104	-12	156	★2
洛陽：北西砦105	-36	156	★2
洛陽：北西砦106	-48	156	★2
洛陽：北西砦107	-60	156	★2
洛陽：北西砦108	-84	156	★2
洛陽：北西砦109	-96	156	★2
洛陽：北西砦110	-108	156	★2
洛陽：北西砦111	-132	156	★2
洛陽：北西砦112	-144	156	★2
洛陽：北西砦113	-156	156	★2
洛陽：南東砦114	156	-156	★2
洛陽：南東砦115	144	-156	★2
洛陽：南東砦116	132	-156	★2
洛陽：南東砦117	108	-156	★2
洛陽：南東砦118	96	-156	★2
洛陽：南東砦119	84	-156	★2
洛陽：南東砦120	60	-156	★2
洛陽：南東砦121	48	-156	★2
洛陽：南東砦122	36	-156	★2
洛陽：南東砦123	12	-156	★2
洛陽：南東砦124	0	-156	★2
洛陽：南西砦125	-12	-156	★2
洛陽：南西砦126	-36	-156	★2
洛陽：南西砦127	-48	-156	★2
洛陽：南西砦128	-60	-156	★2
洛陽：南西砦129	-84	-156	★2
洛陽：南西砦130	-96	-156	★2
洛陽：南西砦131	-108	-156	★2
洛陽：南西砦132	-132	-156	★2
洛陽：南西砦133	-144	-156	★2
洛陽：南西砦134	-156	-156	★2
洛陽：北東砦135	156	144	★2
洛陽：北東砦136	156	132	★2
洛陽：北東砦137	156	108	★2
洛陽：北東砦138	156	96	★2
洛陽：北東砦139	156	84	★2
洛陽：北東砦140	156	60	★2
洛陽：北東砦141	156	48	★2
洛陽：北東砦142	156	36	★2
洛陽：北東砦143	156	12	★2
洛陽：北東砦144	156	0	★2
洛陽：南東砦145	156	-12	★2
洛陽：南東砦146	156	-36	★2
洛陽：南東砦147	156	-48	★2
洛陽：南東砦148	156	-60	★2
洛陽：南東砦149	156	-84	★2
洛陽：南東砦150	156	-96	★2
洛陽：南東砦151	156	-108	★2
洛陽：南東砦152	156	-132	★2
洛陽：南東砦153	156	-144	★2
洛陽：北西砦154	-156	144	★2
洛陽：北西砦155	-156	132	★2
洛陽：北西砦156	-156	108	★2
洛陽：北西砦157	-156	96	★2
洛陽：北西砦158	-156	84	★2
洛陽：北西砦159	-156	60	★2
洛陽：北西砦160	-156	48	★2
洛陽：北西砦161	-156	36	★2
洛陽：北西砦162	-156	12	★2
洛陽：北西砦163	-156	0	★2
洛陽：南西砦164	-156	-12	★2
洛陽：南西砦165	-156	-36	★2
洛陽：南西砦166	-156	-48	★2
洛陽：南西砦167	-156	-60	★2
洛陽：南西砦168	-156	-84	★2
洛陽：南西砦169	-156	-96	★2
洛陽：南西砦170	-156	-108	★2
洛陽：南西砦171	-156	-132	★2
洛陽：南西砦172	-156	-144	★2
洛陽：北東砦173	132	132	★3
洛陽：北東砦174	120	132	★3
洛陽：北東砦175	108	132	★3
洛陽：北東砦176	84	132	★3
洛陽：北東砦177	72	132	★3
洛陽：北東砦178	60	132	★3
洛陽：北東砦179	36	132	★3
洛陽：北東砦180	24	132	★3
洛陽：北東砦181	12	132	★3
洛陽：北西砦182	-12	132	★3
洛陽：北西砦183	-24	132	★3
洛陽：北西砦184	-36	132	★3
洛陽：北西砦185	-60	132	★3
洛陽：北西砦186	-72	132	★3
洛陽：北西砦187	-84	132	★3
洛陽：北西砦188	-108	132	★3
洛陽：北西砦189	-120	132	★3
洛陽：北西砦190	-132	132	★3
洛陽：南東砦191	132	-132	★3
洛陽：南東砦192	120	-132	★3
洛陽：南東砦193	108	-132	★3
洛陽：南東砦194	84	-132	★3
洛陽：南東砦195	72	-132	★3
洛陽：南東砦196	60	-132	★3
洛陽：南東砦197	36	-132	★3
洛陽：南東砦198	24	-132	★3
洛陽：南東砦199	12	-132	★3
洛陽：南西砦200	-12	-132	★3
洛陽：南西砦201	-24	-132	★3
洛陽：南西砦202	-36	-132	★3
洛陽：南西砦203	-60	-132	★3
洛陽：南西砦204	-72	-132	★3
洛陽：南西砦205	-84	-132	★3
洛陽：南西砦206	-108	-132	★3
洛陽：南西砦207	-120	-132	★3
洛陽：南西砦208	-132	-132	★3
洛陽：北東砦209	132	120	★3
洛陽：北東砦210	132	108	★3
洛陽：北東砦211	132	84	★3
洛陽：北東砦212	132	72	★3
洛陽：北東砦213	132	60	★3
洛陽：北東砦214	132	36	★3
洛陽：北東砦215	132	24	★3
洛陽：北東砦216	132	12	★3
洛陽：南東砦217	132	-12	★3
洛陽：南東砦218	132	-24	★3
洛陽：南東砦219	132	-36	★3
洛陽：南東砦220	132	-60	★3
洛陽：南東砦221	132	-72	★3
洛陽：南東砦222	132	-84	★3
洛陽：南東砦223	132	-108	★3
洛陽：南東砦224	132	-120	★3
洛陽：北西砦225	-132	120	★3
洛陽：北西砦226	-132	108	★3
洛陽：北西砦227	-132	84	★3
洛陽：北西砦228	-132	72	★3
洛陽：北西砦229	-132	60	★3
洛陽：北西砦230	-132	36	★3
洛陽：北西砦231	-132	24	★3
洛陽：北西砦232	-132	12	★3
洛陽：南西砦233	-132	-12	★3
洛陽：南西砦234	-132	-24	★3
洛陽：南西砦235	-132	-36	★3
洛陽：南西砦236	-132	-60	★3
洛陽：南西砦237	-132	-72	★3
洛陽：南西砦238	-132	-84	★3
洛陽：南西砦239	-132	-108	★3
洛陽：南西砦240	-132	-120	★3
洛陽：北東砦241	108	108	★4
洛陽：北東砦242	96	108	★4
洛陽：北東砦243	84	108	★4
洛陽：北東砦244	60	108	★4
洛陽：北東砦245	48	108	★4
洛陽：北東砦246	36	108	★4
洛陽：北東砦247	12	108	★4
洛陽：北東砦248	0	108	★4
洛陽：北西砦249	-12	108	★4
洛陽：北西砦250	-36	108	★4
洛陽：北西砦251	-48	108	★4
洛陽：北西砦252	-60	108	★4
洛陽：北西砦253	-84	108	★4
洛陽：北西砦254	-96	108	★4
洛陽：北西砦255	-108	108	★4
洛陽：南東砦256	108	-108	★4
洛陽：南東砦257	96	-108	★4
洛陽：南東砦258	84	-108	★4
洛陽：南東砦259	60	-108	★4
洛陽：南東砦260	48	-108	★4
洛陽：南東砦261	36	-108	★4
洛陽：南東砦262	12	-108	★4
洛陽：南東砦263	0	-108	★4
洛陽：南西砦264	-12	-108	★4
洛陽：南西砦265	-36	-108	★4
洛陽：南西砦266	-48	-108	★4
洛陽：南西砦267	-60	-108	★4
洛陽：南西砦268	-84	-108	★4
洛陽：南西砦269	-96	-108	★4
洛陽：南西砦270	-108	-108	★4
洛陽：北東砦271	108	96	★4
洛陽：北東砦272	108	84	★4
洛陽：北東砦273	108	60	★4
洛陽：北東砦274	108	48	★4
洛陽：北東砦275	108	36	★4
洛陽：北東砦276	108	12	★4
洛陽：北東砦277	108	0	★4
洛陽：南東砦278	108	-12	★4
洛陽：南東砦279	108	-36	★4
洛陽：南東砦280	108	-48	★4
洛陽：南東砦281	108	-60	★4
洛陽：南東砦282	108	-84	★4
洛陽：南東砦283	108	-96	★4
洛陽：北西砦284	-108	96	★4
洛陽：北西砦285	-108	84	★4
洛陽：北西砦286	-108	60	★4
洛陽：北西砦287	-108	48	★4
洛陽：北西砦288	-108	36	★4
洛陽：北西砦289	-108	12	★4
洛陽：北西砦290	-108	0	★4
洛陽：南西砦291	-108	-12	★4
洛陽：南西砦292	-108	-36	★4
洛陽：南西砦293	-108	-48	★4
洛陽：南西砦294	-108	-60	★4
洛陽：南西砦295	-108	-84	★4
洛陽：南西砦296	-108	-96	★4
洛陽：北東砦297	84	84	★5
洛陽：北東砦298	72	84	★5
洛陽：北東砦299	60	84	★5
洛陽：北東砦300	36	84	★5
洛陽：北東砦301	24	84	★5
洛陽：北東砦302	12	84	★5
洛陽：北西砦303	-12	84	★5
洛陽：北西砦304	-24	84	★5
洛陽：北西砦305	-36	84	★5
洛陽：北西砦306	-60	84	★5
洛陽：北西砦307	-72	84	★5
洛陽：北西砦308	-84	84	★5
洛陽：南東砦309	84	-84	★5
洛陽：南東砦310	72	-84	★5
洛陽：南東砦311	60	-84	★5
洛陽：南東砦312	36	-84	★5
洛陽：南東砦313	24	-84	★5
洛陽：南東砦314	12	-84	★5
洛陽：南西砦315	-12	-84	★5
洛陽：南西砦316	-24	-84	★5
洛陽：南西砦317	-36	-84	★5
洛陽：南西砦318	-60	-84	★5
洛陽：南西砦319	-72	-84	★5
洛陽：南西砦320	-84	-84	★5
洛陽：北東砦321	84	72	★5
洛陽：北東砦322	84	60	★5
洛陽：北東砦323	84	36	★5
洛陽：北東砦324	84	24	★5
洛陽：北東砦325	84	12	★5
洛陽：南東砦326	84	-12	★5
洛陽：南東砦327	84	-24	★5
洛陽：南東砦328	84	-36	★5
洛陽：南東砦329	84	-60	★5
洛陽：南東砦330	84	-72	★5
洛陽：北西砦331	-84	72	★5
洛陽：北西砦332	-84	60	★5
洛陽：北西砦333	-84	36	★5
洛陽：北西砦334	-84	24	★5
洛陽：北西砦335	-84	12	★5
洛陽：南西砦336	-84	-12	★5
洛陽：南西砦337	-84	-24	★5
洛陽：南西砦338	-84	-36	★5
洛陽：南西砦339	-84	-60	★5
洛陽：南西砦340	-84	-72	★5
許昌：北東砦1	1208	1208	★3
許昌：北東砦2	1196	1208	★3
許昌：北東砦3	1184	1208	★3
許昌：北東砦4	1160	1208	★3
許昌：北東砦5	1148	1208	★3
許昌：北東砦6	1136	1208	★3
許昌：北東砦7	1112	1208	★3
許昌：北東砦8	1100	1208	★3
許昌：北西砦9	1088	1208	★3
許昌：北西砦10	1064	1208	★3
許昌：北西砦11	1052	1208	★3
許昌：北西砦12	1040	1208	★3
許昌：北西砦13	1016	1208	★3
許昌：北西砦14	1004	1208	★3
許昌：北西砦15	992	1208	★3
許昌：南東砦16	1208	992	★3
許昌：南東砦17	1196	992	★3
許昌：南東砦18	1184	992	★3
許昌：南東砦19	1160	992	★3
許昌：南東砦20	1148	992	★3
許昌：南東砦21	1136	992	★3
許昌：南東砦22	1112	992	★3
許昌：南東砦23	1100	992	★3
許昌：南西砦24	1088	992	★3
許昌：南西砦25	1064	992	★3
許昌：南西砦26	1052	992	★3
許昌：南西砦27	1040	992	★3
許昌：南西砦28	1016	992	★3
許昌：南西砦29	1004	992	★3
許昌：南西砦30	992	992	★3
許昌：北東砦31	1208	1196	★3
許昌：北東砦32	1208	1184	★3
許昌：北東砦33	1208	1160	★3
許昌：北東砦34	1208	1148	★3
許昌：北東砦35	1208	1136	★3
許昌：北東砦36	1208	1112	★3
許昌：北東砦37	1208	1100	★3
許昌：南東砦38	1208	1088	★3
許昌：南東砦39	1208	1064	★3
許昌：南東砦40	1208	1052	★3
許昌：南東砦41	1208	1040	★3
許昌：南東砦42	1208	1016	★3
許昌：南東砦43	1208	1004	★3
許昌：北西砦44	992	1196	★3
許昌：北西砦45	992	1184	★3
許昌：北西砦46	992	1160	★3
許昌：北西砦47	992	1148	★3
許昌：北西砦48	992	1136	★3
許昌：北西砦49	992	1112	★3
許昌：北西砦50	992	1100	★3
許昌：南西砦51	992	1088	★3
許昌：南西砦52	992	1064	★3
許昌：南西砦53	992	1052	★3
許昌：南西砦54	992	1040	★3
許昌：南西砦55	992	1016	★3
許昌：南西砦56	992	1004	★3
許昌：北東砦57	1184	1184	★4
許昌：北東砦58	1172	1184	★4
許昌：北東砦59	1160	1184	★4
許昌：北東砦60	1136	1184	★4
許昌：北東砦61	1124	1184	★4
許昌：北東砦62	1112	1184	★4
許昌：北西砦63	1088	1184	★4
許昌：北西砦64	1076	1184	★4
許昌：北西砦65	1064	1184	★4
許昌：北西砦66	1040	1184	★4
許昌：北西砦67	1028	1184	★4
許昌：北西砦68	1016	1184	★4
許昌：南東砦69	1184	1016	★4
許昌：南東砦70	1172	1016	★4
許昌：南東砦71	1160	1016	★4
許昌：南東砦72	1136	1016	★4
許昌：南東砦73	1124	1016	★4
許昌：南東砦74	1112	1016	★4
許昌：南西砦75	1088	1016	★4
許昌：南西砦76	1076	1016	★4
許昌：南西砦77	1064	1016	★4
許昌：南西砦78	1040	1016	★4
許昌：南西砦79	1028	1016	★4
許昌：南西砦80	1016	1016	★4
許昌：北東砦81	1184	1172	★4
許昌：北東砦82	1184	1160	★4
許昌：北東砦83	1184	1136	★4
許昌：北東砦84	1184	1124	★4
許昌：北東砦85	1184	1112	★4
許昌：南東砦86	1184	1088	★4
許昌：南東砦87	1184	1076	★4
許昌：南東砦88	1184	1064	★4
許昌：南東砦89	1184	1040	★4
許昌：南東砦90	1184	1028	★4
許昌：北西砦91	1016	1172	★4
許昌：北西砦92	1016	1160	★4
許昌：北西砦93	1016	1136	★4
許昌：北西砦94	1016	1124	★4
許昌：北西砦95	1016	1112	★4
許昌：南西砦96	1016	1088	★4
許昌：南西砦97	1016	1076	★4
許昌：南西砦98	1016	1064	★4
許昌：南西砦99	1016	1040	★4
許昌：南西砦100	1016	1028	★4
許昌：北東砦101	1160	1160	★5
許昌：北東砦102	1148	1160	★5
許昌：北東砦103	1136	1160	★5
許昌：北東砦104	1112	1160	★5
許昌：北東砦105	1100	1160	★5
許昌：北西砦106	1088	1160	★5
許昌：北西砦107	1064	1160	★5
許昌：北西砦108	1052	1160	★5
許昌：北西砦109	1040	1160	★5
許昌：南東砦110	1160	1040	★5
許昌：南東砦111	1148	1040	★5
許昌：南東砦112	1136	1040	★5
許昌：南東砦113	1112	1040	★5
許昌：南東砦114	1100	1040	★5
許昌：南西砦115	1088	1040	★5
許昌：南西砦116	1064	1040	★5
許昌：南西砦117	1052	1040	★5
許昌：南西砦118	1040	1040	★5
許昌：北東砦119	1160	1148	★5
許昌：北東砦120	1160	1136	★5
許昌：北東砦121	1160	1112	★5
許昌：北東砦122	1160	1100	★5
許昌：南東砦123	1160	1088	★5
許昌：南東砦124	1160	1064	★5
許昌：南東砦125	1160	1052	★5
許昌：北西砦126	1040	1148	★5
許昌：北西砦127	1040	1136	★5
許昌：北西砦128	1040	1112	★5
許昌：北西砦129	1040	1100	★5
許昌：南西砦130	1040	1088	★5
許昌：南西砦131	1040	1064	★5
許昌：南西砦132	1040	1052	★5
建業：北東砦1	1208	-992	★3
建業：北東砦2	1196	-992	★3
建業：北東砦3	1184	-992	★3
建業：北東砦4	1160	-992	★3
建業：北東砦5	1148	-992	★3
建業：北東砦6	1136	-992	★3
建業：北東砦7	1112	-992	★3
建業：北東砦8	1100	-992	★3
建業：北西砦9	1088	-992	★3
建業：北西砦10	1064	-992	★3
建業：北西砦11	1052	-992	★3
建業：北西砦12	1040	-992	★3
建業：北西砦13	1016	-992	★3
建業：北西砦14	1004	-992	★3
建業：北西砦15	992	-992	★3
建業：南東砦16	1208	-1208	★3
建業：南東砦17	1196	-1208	★3
建業：南東砦18	1184	-1208	★3
建業：南東砦19	1160	-1208	★3
建業：南東砦20	1148	-1208	★3
建業：南東砦21	1136	-1208	★3
建業：南東砦22	1112	-1208	★3
建業：南東砦23	1100	-1208	★3
建業：南西砦24	1088	-1208	★3
建業：南西砦25	1064	-1208	★3
建業：南西砦26	1052	-1208	★3
建業：南西砦27	1040	-1208	★3
建業：南西砦28	1016	-1208	★3
建業：南西砦29	1004	-1208	★3
建業：南西砦30	992	-1208	★3
建業：北東砦31	1208	-1004	★3
建業：北東砦32	1208	-1016	★3
建業：北東砦33	1208	-1040	★3
建業：北東砦34	1208	-1052	★3
建業：北東砦35	1208	-1064	★3
建業：北東砦36	1208	-1088	★3
建業：北東砦37	1208	-1100	★3
建業：南東砦38	1208	-1112	★3
建業：南東砦39	1208	-1136	★3
建業：南東砦40	1208	-1148	★3
建業：南東砦41	1208	-1160	★3
建業：南東砦42	1208	-1184	★3
建業：南東砦43	1208	-1196	★3
建業：北西砦44	992	-1004	★3
建業：北西砦45	992	-1016	★3
建業：北西砦46	992	-1040	★3
建業：北西砦47	992	-1052	★3
建業：北西砦48	992	-1064	★3
建業：北西砦49	992	-1088	★3
建業：北西砦50	992	-1100	★3
建業：南西砦51	992	-1112	★3
建業：南西砦52	992	-1136	★3
建業：南西砦53	992	-1148	★3
建業：南西砦54	992	-1160	★3
建業：南西砦55	992	-1184	★3
建業：南西砦56	992	-1196	★3
建業：北東砦57	1184	-1016	★4
建業：北東砦58	1172	-1016	★4
建業：北東砦59	1160	-1016	★4
建業：北東砦60	1136	-1016	★4
建業：北東砦61	1124	-1016	★4
建業：北東砦62	1112	-1016	★4
建業：北西砦63	1088	-1016	★4
建業：北西砦64	1076	-1016	★4
建業：北西砦65	1064	-1016	★4
建業：北西砦66	1040	-1016	★4
建業：北西砦67	1028	-1016	★4
建業：北西砦68	1016	-1016	★4
建業：南東砦69	1184	-1184	★4
建業：南東砦70	1172	-1184	★4
建業：南東砦71	1160	-1184	★4
建業：南東砦72	1136	-1184	★4
建業：南東砦73	1124	-1184	★4
建業：南東砦74	1112	-1184	★4
建業：南西砦75	1088	-1184	★4
建業：南西砦76	1076	-1184	★4
建業：南西砦77	1064	-1184	★4
建業：南西砦78	1040	-1184	★4
建業：南西砦79	1028	-1184	★4
建業：南西砦80	1016	-1184	★4
建業：北東砦81	1184	-1028	★4
建業：北東砦82	1184	-1040	★4
建業：北東砦83	1184	-1064	★4
建業：北東砦84	1184	-1076	★4
建業：北東砦85	1184	-1088	★4
建業：南東砦86	1184	-1112	★4
建業：南東砦87	1184	-1124	★4
建業：南東砦88	1184	-1136	★4
建業：南東砦89	1184	-1160	★4
建業：南東砦90	1184	-1172	★4
建業：北西砦91	1016	-1028	★4
建業：北西砦92	1016	-1040	★4
建業：北西砦93	1016	-1064	★4
建業：北西砦94	1016	-1076	★4
建業：北西砦95	1016	-1088	★4
建業：南西砦96	1016	-1112	★4
建業：南西砦97	1016	-1124	★4
建業：南西砦98	1016	-1136	★4
建業：南西砦99	1016	-1160	★4
建業：南西砦100	1016	-1172	★4
建業：北東砦101	1160	-1040	★5
建業：北東砦102	1148	-1040	★5
建業：北東砦103	1136	-1040	★5
建業：北東砦104	1112	-1040	★5
建業：北東砦105	1100	-1040	★5
建業：北西砦106	1088	-1040	★5
建業：北西砦107	1064	-1040	★5
建業：北西砦108	1052	-1040	★5
建業：北西砦109	1040	-1040	★5
建業：南東砦110	1160	-1160	★5
建業：南東砦111	1148	-1160	★5
建業：南東砦112	1136	-1160	★5
建業：南東砦113	1112	-1160	★5
建業：南東砦114	1100	-1160	★5
建業：南西砦115	1088	-1160	★5
建業：南西砦116	1064	-1160	★5
建業：南西砦117	1052	-1160	★5
建業：南西砦118	1040	-1160	★5
建業：北東砦119	1160	-1052	★5
建業：北東砦120	1160	-1064	★5
建業：北東砦121	1160	-1088	★5
建業：北東砦122	1160	-1100	★5
建業：南東砦123	1160	-1112	★5
建業：南東砦124	1160	-1136	★5
建業：南東砦125	1160	-1148	★5
建業：北西砦126	1040	-1052	★5
建業：北西砦127	1040	-1064	★5
建業：北西砦128	1040	-1088	★5
建業：北西砦129	1040	-1100	★5
建業：南西砦130	1040	-1112	★5
建業：南西砦131	1040	-1136	★5
建業：南西砦132	1040	-1148	★5
成都：北東砦1	-992	-992	★3
成都：北東砦2	-1004	-992	★3
成都：北東砦3	-1016	-992	★3
成都：北東砦4	-1040	-992	★3
成都：北東砦5	-1052	-992	★3
成都：北東砦6	-1064	-992	★3
成都：北東砦7	-1088	-992	★3
成都：北東砦8	-1100	-992	★3
成都：北西砦9	-1112	-992	★3
成都：北西砦10	-1136	-992	★3
成都：北西砦11	-1148	-992	★3
成都：北西砦12	-1160	-992	★3
成都：北西砦13	-1184	-992	★3
成都：北西砦14	-1196	-992	★3
成都：北西砦15	-1208	-992	★3
成都：南東砦16	-992	-1208	★3
成都：南東砦17	-1004	-1208	★3
成都：南東砦18	-1016	-1208	★3
成都：南東砦19	-1040	-1208	★3
成都：南東砦20	-1052	-1208	★3
成都：南東砦21	-1064	-1208	★3
成都：南東砦22	-1088	-1208	★3
成都：南東砦23	-1100	-1208	★3
成都：南西砦24	-1112	-1208	★3
成都：南西砦25	-1136	-1208	★3
成都：南西砦26	-1148	-1208	★3
成都：南西砦27	-1160	-1208	★3
成都：南西砦28	-1184	-1208	★3
成都：南西砦29	-1196	-1208	★3
成都：南西砦30	-1208	-1208	★3
成都：北東砦31	-992	-1004	★3
成都：北東砦32	-992	-1016	★3
成都：北東砦33	-992	-1040	★3
成都：北東砦34	-992	-1052	★3
成都：北東砦35	-992	-1064	★3
成都：北東砦36	-992	-1088	★3
成都：北東砦37	-992	-1100	★3
成都：南東砦38	-992	-1112	★3
成都：南東砦39	-992	-1136	★3
成都：南東砦40	-992	-1148	★3
成都：南東砦41	-992	-1160	★3
成都：南東砦42	-992	-1184	★3
成都：南東砦43	-992	-1196	★3
成都：北西砦44	-1208	-1004	★3
成都：北西砦45	-1208	-1016	★3
成都：北西砦46	-1208	-1040	★3
成都：北西砦47	-1208	-1052	★3
成都：北西砦48	-1208	-1064	★3
成都：北西砦49	-1208	-1088	★3
成都：北西砦50	-1208	-1100	★3
成都：南西砦51	-1208	-1112	★3
成都：南西砦52	-1208	-1136	★3
成都：南西砦53	-1208	-1148	★3
成都：南西砦54	-1208	-1160	★3
成都：南西砦55	-1208	-1184	★3
成都：南西砦56	-1208	-1196	★3
成都：北東砦57	-1016	-1016	★4
成都：北東砦58	-1028	-1016	★4
成都：北東砦59	-1040	-1016	★4
成都：北東砦60	-1064	-1016	★4
成都：北東砦61	-1076	-1016	★4
成都：北東砦62	-1088	-1016	★4
成都：北西砦63	-1112	-1016	★4
成都：北西砦64	-1124	-1016	★4
成都：北西砦65	-1136	-1016	★4
成都：北西砦66	-1160	-1016	★4
成都：北西砦67	-1172	-1016	★4
成都：北西砦68	-1184	-1016	★4
成都：南東砦69	-1016	-1184	★4
成都：南東砦70	-1028	-1184	★4
成都：南東砦71	-1040	-1184	★4
成都：南東砦72	-1064	-1184	★4
成都：南東砦73	-1076	-1184	★4
成都：南東砦74	-1088	-1184	★4
成都：南西砦75	-1112	-1184	★4
成都：南西砦76	-1124	-1184	★4
成都：南西砦77	-1136	-1184	★4
成都：南西砦78	-1160	-1184	★4
成都：南西砦79	-1172	-1184	★4
成都：南西砦80	-1184	-1184	★4
成都：北東砦81	-1016	-1028	★4
成都：北東砦82	-1016	-1040	★4
成都：北東砦83	-1016	-1064	★4
成都：北東砦84	-1016	-1076	★4
成都：北東砦85	-1016	-1088	★4
成都：南東砦86	-1016	-1112	★4
成都：南東砦87	-1016	-1124	★4
成都：南東砦88	-1016	-1136	★4
成都：南東砦89	-1016	-1160	★4
成都：南東砦90	-1016	-1172	★4
成都：北西砦91	-1184	-1028	★4
成都：北西砦92	-1184	-1040	★4
成都：北西砦93	-1184	-1064	★4
成都：北西砦94	-1184	-1076	★4
成都：北西砦95	-1184	-1088	★4
成都：南西砦96	-1184	-1112	★4
成都：南西砦97	-1184	-1124	★4
成都：南西砦98	-1184	-1136	★4
成都：南西砦99	-1184	-1160	★4
成都：南西砦100	-1184	-1172	★4
成都：北東砦101	-1040	-1040	★5
成都：北東砦102	-1052	-1040	★5
成都：北東砦103	-1064	-1040	★5
成都：北東砦104	-1088	-1040	★5
成都：北東砦105	-1100	-1040	★5
